Rank,Team,2025,Last 3,Last 1,Home,Away
1,Atlanta,30.3,28.7,29.0,29.3,31.3
2,Okla City,30.1,22.0,22.0,31.2,29.0
3,Cleveland,30.0,25.0,25.0,31.2,28.8
4,Memphis,29.8,33.3,28.0,30.5,29.0
5,Sacramento,29.3,21.0,19.0,29.0,29.6
6,New York,29.3,29.3,30.0,29.6,28.9
7,Detroit,29.2,29.7,38.0,29.6,28.8
8,Denver,29.1,25.0,20.0,28.8,29.3
9,Dallas,29.0,31.7,25.0,28.4,29.7
10,Chicago,29.0,23.7,19.0,28.4,29.7
11,Milwaukee,28.8,22.0,17.0,28.7,28.9
12,Indiana,28.7,28.3,26.0,29.8,27.7
13,Boston,28.7,23.0,17.0,28.9,28.5
14,LA Lakers,28.7,28.3,27.0,29.2,28.2
15,Houston,28.3,28.0,20.0,28.8,27.8
16,LA Clippers,27.8,30.0,21.0,28.7,26.9
17,Miami,27.8,21.7,16.0,27.9,27.7
18,Philadelphia,27.7,31.7,27.0,27.4,27.9
19,San Antonio,27.6,22.7,22.0,29.8,25.5
20,Phoenix,27.5,27.3,29.0,27.3,27.7
21,Golden State,27.5,25.7,24.0,27.4,27.5
22,Minnesota,27.4,29.3,23.0,27.9,26.8
23,Portland,27.3,23.3,29.0,27.8,26.9
24,Toronto,27.3,26.0,37.0,27.5,27.1
25,New Orleans,27.2,29.3,30.0,26.9,27.5
26,Utah,26.9,26.7,25.0,27.0,26.9
27,Brooklyn,26.8,32.0,29.0,26.0,27.5
28,Washington,26.7,27.3,36.0,26.8,26.7
29,Charlotte,26.4,26.0,28.0,26.4,26.4
30,Orlando,25.9,19.7,22.0,25.6,26.2
