Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,2.8,5.3,0.0,2.0,3.7
2,Minnesota,2.3,1.3,-4.0,3.8,0.8
3,Okla City,1.9,5.0,-1.0,2.8,1.0
4,Indiana,1.6,-5.0,1.0,0.4,2.9
5,LA Clippers,1.3,1.0,8.0,1.6,0.9
6,Golden State,1.0,4.7,10.0,0.6,1.4
7,Atlanta,0.8,-2.0,9.0,1.5,0.1
8,Orlando,0.7,-5.3,-10.0,2.3,-0.9
9,Boston,0.3,0.7,-3.0,-0.4,1.1
10,Milwaukee,0.3,-1.3,0.0,1.0,-0.4
11,Sacramento,0.3,2.7,4.0,0.4,0.1
12,Detroit,0.2,0.0,8.0,0.3,0.0
13,Dallas,0.1,-2.0,4.0,0.9,-0.7
14,Chicago,-0.1,2.0,-5.0,-0.8,0.7
15,Memphis,-0.1,-7.0,1.0,0.0,-0.3
16,San Antonio,-0.2,11.0,9.0,-1.2,0.8
17,Denver,-0.3,-6.0,-7.0,0.2,-0.8
18,New York,-0.4,0.0,-2.0,-0.4,-0.4
19,Phoenix,-0.5,-3.3,0.0,0.3,-1.2
20,Charlotte,-0.5,-12.0,-6.0,0.4,-1.5
21,Toronto,-0.8,2.7,-9.0,0.6,-2.1
22,Houston,-0.8,-4.0,-6.0,1.0,-2.7
23,New Orleans,-1.0,-6.0,3.0,0.0,-1.9
24,Miami,-1.0,-5.3,-7.0,-0.3,-1.7
25,Portland,-1.1,-0.7,0.0,-1.3,-0.9
26,LA Lakers,-1.1,-9.7,-6.0,-1.0,-1.2
27,Brooklyn,-1.6,0.7,-2.0,-1.5,-1.7
28,Philadelphia,-1.9,-2.7,-9.0,-2.4,-1.4
29,Utah,-2.0,-2.0,2.0,-2.9,-1.0
30,Washington,-2.0,-6.0,-7.0,-2.0,-2.0
