Rank,Team,2025,Last 3,Last 1,Home,Away
1,Denver,0.4,0.0,0.0,0.4,0.4
2,Indiana,0.2,0.0,0.0,0.1,0.3
3,Milwaukee,0.2,-0.3,-1.0,0.3,0.1
4,Chicago,0.2,0.0,0.0,0.2,0.1
5,Houston,0.2,0.0,0.0,0.0,0.3
6,Miami,0.1,0.0,0.0,0.0,0.2
7,New York,0.1,0.0,0.0,0.0,0.3
8,New Orleans,0.1,0.0,0.0,0.2,0.0
9,Memphis,0.0,0.0,0.0,0.1,0.0
10,Boston,0.0,0.0,0.0,0.0,0.1
11,LA Lakers,0.0,0.0,0.0,0.1,0.0
12,LA Clippers,0.0,0.0,0.0,-0.1,0.2
13,Golden State,0.0,0.0,0.0,-0.1,0.1
14,Minnesota,0.0,0.0,0.0,-0.2,0.2
14,Sacramento,0.0,0.0,0.0,0.0,0.0
16,Cleveland,0.0,0.0,0.0,-0.1,0.0
17,San Antonio,0.0,0.0,0.0,-0.1,0.0
18,Orlando,-0.1,0.0,0.0,0.0,-0.1
19,Dallas,-0.1,0.0,0.0,0.0,-0.1
20,Charlotte,-0.1,0.0,0.0,-0.1,0.0
21,Washington,-0.1,0.0,0.0,-0.2,0.0
21,Utah,-0.1,2.3,0.0,0.1,-0.3
23,Okla City,-0.1,0.0,0.0,-0.1,-0.2
24,Portland,-0.1,-2.3,0.0,0.0,-0.3
25,Atlanta,-0.1,-3.0,-9.0,-0.2,-0.1
26,Phoenix,-0.1,0.0,0.0,0.0,-0.2
27,Detroit,-0.1,0.0,0.0,0.1,-0.4
28,Philadelphia,-0.2,0.0,0.0,-0.3,-0.1
29,Brooklyn,-0.2,0.0,0.0,-0.1,-0.3
30,Toronto,-0.3,0.0,0.0,-0.2,-0.3
