Rank,Team,2025,Last 3,Last 1,Home,Away
1,Chicago,2.429,2.037,1.444,2.516,2.342
2,Denver,2.4,1.5,2.333,2.42,2.38
3,Detroit,2.335,2.208,2.667,2.378,2.294
4,Toronto,2.238,2.296,2.75,2.302,2.176
5,Washington,2.104,1.7,2.75,2.119,2.09
6,Utah,2.072,1.148,0.833,1.967,2.174
7,Indiana,2.014,1.355,1.167,2.098,1.934
8,San Antonio,1.972,2.208,1.636,2.1,1.856
9,Houston,1.964,1.308,2.0,1.901,2.024
10,LA Lakers,1.95,1.813,2.2,1.941,1.959
11,Dallas,1.933,1.792,1.667,2.149,1.746
12,New Orleans,1.923,2.2,1.5,1.947,1.896
13,Portland,1.906,1.621,2.714,1.931,1.879
14,Sacramento,1.898,1.765,2.5,1.911,1.885
15,Memphis,1.883,1.563,1.75,2.114,1.655
16,New York,1.844,1.214,1.0,2.008,1.69
17,Brooklyn,1.834,3.0,4.0,1.709,1.977
18,Milwaukee,1.818,1.391,1.778,1.834,1.802
19,Miami,1.779,2.308,3.0,1.782,1.775
20,Cleveland,1.768,1.905,2.0,1.736,1.804
21,Atlanta,1.758,2.08,1.833,1.73,1.786
22,Phoenix,1.752,1.48,1.167,1.745,1.759
23,Philadelphia,1.713,1.652,1.714,1.79,1.643
24,Minnesota,1.705,1.429,1.571,1.656,1.754
25,LA Clippers,1.685,2.04,1.9,1.791,1.588
26,Boston,1.655,1.667,2.0,1.919,1.425
27,Charlotte,1.593,1.273,0.8,1.72,1.483
28,Orlando,1.567,2.095,1.857,1.656,1.484
29,Okla City,1.531,1.121,0.643,1.478,1.597
30,Golden State,1.502,1.0,0.5,1.579,1.43
