Rank,Team,2025,Last 3,Last 1,Home,Away
1,Boston,26.2,28.7,26.0,24.6,27.9
2,Okla City,26.4,24.0,22.0,26.0,26.9
3,Houston,26.6,22.7,23.0,27.0,26.1
4,Minnesota,26.8,25.7,26.0,26.7,27.0
5,Golden State,27.1,26.0,30.0,27.6,26.6
6,Cleveland,27.1,29.7,19.0,26.0,28.2
7,LA Clippers,27.3,28.0,21.0,26.4,28.2
8,Miami,27.4,33.7,43.0,27.8,27.0
9,Orlando,27.5,27.3,23.0,26.3,28.7
10,New York,27.7,30.3,25.0,27.0,28.5
11,Brooklyn,27.8,33.0,38.0,27.2,28.3
12,LA Lakers,27.8,30.3,31.0,26.7,28.9
13,Dallas,28.4,35.3,39.0,26.2,30.4
14,Portland,28.5,25.0,25.0,28.3,28.7
15,Detroit,28.5,29.7,37.0,29.3,27.8
16,Indiana,28.6,27.3,25.0,27.8,29.3
17,Toronto,28.7,30.0,32.0,29.9,27.6
18,Charlotte,28.8,27.7,33.0,27.8,29.8
19,San Antonio,28.9,32.3,37.0,30.3,27.6
20,Philadelphia,29.2,27.0,29.0,29.0,29.4
21,Milwaukee,29.2,23.0,13.0,28.6,29.8
22,Phoenix,29.3,31.7,33.0,29.8,28.9
23,Sacramento,29.4,25.3,27.0,29.2,29.5
24,Utah,29.5,34.7,30.0,30.2,28.9
25,Chicago,29.7,30.7,39.0,29.9,29.4
26,Memphis,29.8,31.7,34.0,30.5,29.0
27,New Orleans,29.9,31.3,38.0,29.8,30.0
28,Atlanta,29.9,29.7,33.0,28.8,31.0
29,Denver,29.9,25.3,21.0,29.8,30.1
30,Washington,30.6,26.3,28.0,30.3,31.0
