Rank,Team,2025,Last 3,Last 1,Home,Away
1,Houston,0.585,0.63,0.615,0.568,0.601
2,Boston,0.589,0.554,0.595,0.591,0.586
3,Indiana,0.591,0.547,0.571,0.582,0.6
4,Orlando,0.597,0.564,0.698,0.582,0.61
5,New York,0.599,0.653,0.652,0.587,0.612
6,Detroit,0.605,0.491,0.439,0.61,0.599
7,Minnesota,0.61,0.519,0.565,0.611,0.609
8,Cleveland,0.624,0.712,0.634,0.624,0.624
9,Dallas,0.628,0.6,0.638,0.618,0.636
10,Toronto,0.629,0.617,0.512,0.606,0.652
11,Portland,0.63,0.649,0.677,0.631,0.629
12,Golden State,0.633,0.694,0.735,0.631,0.636
13,Milwaukee,0.636,0.697,0.558,0.64,0.632
14,Okla City,0.637,0.606,0.586,0.615,0.659
15,San Antonio,0.639,0.698,0.696,0.643,0.635
16,Miami,0.639,0.621,0.553,0.638,0.64
17,Phoenix,0.64,0.638,0.674,0.64,0.639
18,Memphis,0.643,0.536,0.537,0.636,0.651
19,Charlotte,0.644,0.707,0.629,0.636,0.652
20,LA Clippers,0.645,0.554,0.511,0.646,0.645
21,Sacramento,0.65,0.628,0.707,0.629,0.67
22,Atlanta,0.651,0.659,0.688,0.638,0.663
23,Washington,0.651,0.611,0.571,0.643,0.66
24,Chicago,0.652,0.679,0.732,0.647,0.656
25,LA Lakers,0.655,0.576,0.694,0.659,0.65
26,New Orleans,0.655,0.534,0.39,0.65,0.66
27,Denver,0.662,0.58,0.596,0.666,0.658
28,Utah,0.665,0.607,0.5,0.667,0.662
29,Philadelphia,0.667,0.627,0.617,0.666,0.668
30,Brooklyn,0.669,0.709,0.73,0.682,0.656
