Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,22.6,20.7,30.0,21.3,24.0
2,Boston,23.5,22.3,25.0,23.6,23.3
3,Houston,23.6,25.0,24.0,22.4,24.7
4,Okla City,24.0,21.0,17.0,23.0,25.0
5,Minnesota,24.4,22.3,26.0,24.5,24.4
6,Detroit,24.5,18.7,18.0,24.7,24.2
7,New York,24.6,26.3,30.0,23.9,25.3
8,Indiana,24.7,19.3,20.0,24.2,25.2
9,Golden State,25.4,28.7,36.0,25.5,25.4
10,LA Clippers,25.6,25.7,24.0,25.1,26.1
11,Cleveland,25.6,29.7,26.0,25.5,25.8
12,Toronto,25.9,26.3,22.0,25.0,26.8
13,Portland,26.2,24.7,21.0,26.0,26.4
14,Miami,26.4,27.3,26.0,26.5,26.3
15,Milwaukee,26.5,30.7,24.0,26.7,26.3
16,Charlotte,26.8,31.3,22.0,25.7,27.9
17,LA Lakers,27.0,22.7,25.0,26.5,27.5
18,Memphis,27.0,22.3,22.0,26.5,27.4
19,Sacramento,27.0,25.3,29.0,26.0,28.1
20,Dallas,27.1,28.0,30.0,25.6,28.4
21,Brooklyn,27.1,30.0,27.0,27.6,26.5
22,Phoenix,27.3,27.7,31.0,26.8,27.7
23,San Antonio,28.0,29.3,32.0,28.4,27.6
24,Philadelphia,28.3,26.3,29.0,28.4,28.1
25,Atlanta,28.3,29.0,33.0,28.1,28.5
26,Washington,28.5,26.7,28.0,28.4,28.5
27,Denver,28.5,25.3,28.0,28.6,28.5
28,New Orleans,28.6,26.3,16.0,27.8,29.5
29,Chicago,28.9,25.3,30.0,28.9,29.0
30,Utah,29.6,30.3,23.0,29.7,29.6
