Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,0.228,0.215,0.314,0.214,0.242
2,Houston,0.23,0.254,0.265,0.219,0.241
3,Okla City,0.232,0.21,0.178,0.222,0.242
4,Detroit,0.236,0.183,0.171,0.239,0.233
5,Boston,0.236,0.23,0.253,0.239,0.234
6,Indiana,0.238,0.193,0.209,0.234,0.243
7,Minnesota,0.242,0.216,0.245,0.243,0.241
8,New York,0.244,0.254,0.294,0.236,0.251
9,Cleveland,0.248,0.282,0.252,0.246,0.251
10,Toronto,0.249,0.254,0.212,0.241,0.258
11,Golden State,0.25,0.284,0.354,0.25,0.25
12,Memphis,0.252,0.215,0.207,0.248,0.257
13,LA Clippers,0.254,0.265,0.236,0.249,0.259
14,Portland,0.254,0.233,0.221,0.252,0.257
15,Milwaukee,0.258,0.299,0.221,0.259,0.258
16,Dallas,0.264,0.275,0.29,0.251,0.275
17,Miami,0.264,0.284,0.257,0.267,0.261
18,Sacramento,0.264,0.27,0.298,0.255,0.273
19,Charlotte,0.264,0.315,0.236,0.255,0.273
20,Atlanta,0.266,0.284,0.309,0.263,0.268
21,LA Lakers,0.268,0.231,0.254,0.262,0.273
22,Brooklyn,0.27,0.297,0.271,0.275,0.264
23,Phoenix,0.27,0.281,0.338,0.266,0.274
24,Chicago,0.272,0.241,0.298,0.272,0.272
25,Washington,0.272,0.254,0.272,0.268,0.276
26,San Antonio,0.272,0.292,0.308,0.275,0.27
27,Denver,0.276,0.246,0.273,0.275,0.276
28,New Orleans,0.278,0.246,0.152,0.27,0.287
29,Philadelphia,0.279,0.247,0.264,0.282,0.276
30,Utah,0.284,0.276,0.229,0.286,0.283
