Rank,Team,2025,Last 3,Last 1,Home,Away
1,Boston,4.0%,4.8%,7.0%,3.8%,4.3%
2,Milwaukee,4.5%,5.6%,4.4%,4.1%,4.9%
3,Phoenix,4.7%,3.0%,4.8%,4.4%,4.9%
4,Sacramento,4.8%,4.2%,9.0%,4.8%,4.7%
5,San Antonio,4.8%,5.1%,1.2%,4.6%,5.1%
6,LA Lakers,4.9%,5.1%,6.4%,4.6%,5.2%
7,LA Clippers,4.9%,7.2%,4.9%,4.8%,5.1%
8,Cleveland,5.0%,6.9%,8.9%,4.9%,5.0%
9,Minnesota,5.1%,6.0%,9.4%,4.8%,5.3%
10,Indiana,5.1%,9.8%,11.4%,4.4%,5.8%
11,Orlando,5.2%,5.8%,3.4%,5.9%,4.5%
12,Dallas,5.2%,5.8%,4.6%,5.1%,5.3%
13,Miami,5.2%,3.3%,6.7%,4.7%,5.7%
14,Okla City,5.3%,5.1%,4.6%,5.1%,5.6%
15,Atlanta,5.4%,8.0%,7.8%,5.1%,5.8%
16,Chicago,5.5%,6.5%,8.4%,5.4%,5.7%
17,Detroit,5.7%,6.8%,4.9%,5.8%,5.6%
18,New York,5.7%,7.8%,10.5%,5.7%,5.8%
19,Washington,5.8%,7.8%,6.7%,5.6%,6.0%
20,New Orleans,5.8%,4.6%,4.4%,5.4%,6.3%
21,Philadelphia,5.9%,3.9%,4.3%,6.0%,5.7%
22,Golden State,5.9%,6.3%,4.4%,5.8%,6.0%
23,Denver,6.0%,4.9%,3.6%,5.4%,6.5%
24,Charlotte,6.0%,6.2%,7.1%,5.5%,6.4%
25,Memphis,6.0%,7.5%,8.8%,5.1%,6.8%
26,Houston,6.1%,7.9%,9.5%,6.1%,6.1%
27,Portland,6.1%,7.7%,11.5%,6.2%,6.1%
28,Brooklyn,6.5%,3.5%,4.1%,6.6%,6.4%
29,Toronto,6.5%,5.0%,2.1%,7.1%,5.9%
30,Utah,7.2%,6.2%,10.1%,7.1%,7.4%
