Rank,Team,2025,Last 3,Last 1,Home,Away
1,Denver,30.9,32.3,29.0,31.0,30.7
2,New York,31.0,30.0,30.0,30.2,31.8
3,Houston,31.4,29.3,35.0,31.0,31.8
4,Minnesota,31.4,27.3,39.0,30.5,32.2
5,Detroit,31.8,30.0,30.0,32.0,31.5
6,LA Lakers,31.8,32.0,36.0,31.6,32.0
7,LA Clippers,31.8,31.3,35.0,31.8,31.8
8,Cleveland,31.9,34.7,42.0,32.6,31.3
9,Memphis,32.0,30.3,21.0,31.2,32.8
10,Portland,32.3,35.7,29.0,31.5,33.2
11,Sacramento,32.3,29.7,31.0,31.7,33.0
12,Utah,32.6,36.0,37.0,32.7,32.4
13,Phoenix,32.7,34.7,33.0,33.0,32.3
14,Boston,32.7,32.7,40.0,32.3,33.1
15,Orlando,33.0,33.7,35.0,32.3,33.7
16,Dallas,33.1,32.3,34.0,33.0,33.3
17,Indiana,33.3,30.0,27.0,32.9,33.7
18,Golden State,33.3,32.0,33.0,34.0,32.7
19,Okla City,33.4,33.3,33.0,33.1,33.7
20,Toronto,33.5,40.3,41.0,33.4,33.7
21,Atlanta,33.5,38.0,41.0,33.6,33.5
22,Brooklyn,33.6,38.3,30.0,33.5,33.7
23,Miami,33.9,34.7,43.0,33.7,34.0
24,New Orleans,33.9,39.0,37.0,34.0,33.7
25,Charlotte,33.9,38.3,34.0,33.9,34.0
26,Philadelphia,34.0,37.7,44.0,34.0,34.0
27,San Antonio,34.1,32.7,30.0,33.0,35.1
28,Milwaukee,34.3,35.0,36.0,33.3,35.4
29,Chicago,35.1,35.7,36.0,35.7,34.5
30,Washington,36.0,38.3,37.0,35.9,36.0
