Rank,Team,2025,Last 3,Last 1,Home,Away
1,Minnesota,1.626,1.091,1.357,1.559,1.696
2,Detroit,1.633,1.955,3.0,1.668,1.597
3,Indiana,1.672,1.121,0.643,1.612,1.728
4,Sacramento,1.678,1.762,1.556,1.614,1.747
5,Houston,1.713,1.955,0.333,1.608,1.825
6,LA Clippers,1.723,2.292,2.182,1.709,1.736
7,Okla City,1.737,1.355,1.167,1.734,1.74
8,Orlando,1.765,1.238,2.2,1.581,1.978
9,Toronto,1.769,2.25,1.636,1.729,1.811
10,Chicago,1.798,1.333,1.4,1.805,1.79
11,Atlanta,1.814,2.333,3.5,1.912,1.714
12,Golden State,1.829,1.708,1.455,1.682,1.988
13,Portland,1.836,1.316,1.556,1.849,1.822
14,Memphis,1.884,1.677,1.538,1.812,1.956
15,Charlotte,1.894,1.862,1.0,1.983,1.812
16,Denver,1.898,1.912,1.688,1.988,1.813
17,Washington,1.92,2.346,3.125,1.878,1.964
18,San Antonio,1.92,2.0,2.75,1.955,1.885
19,Dallas,1.929,2.593,2.375,1.839,2.0
20,Boston,1.939,2.059,3.286,1.866,2.013
21,Miami,1.962,1.375,1.2,1.911,2.005
22,Cleveland,1.971,2.0,1.625,1.809,2.159
23,Utah,1.988,1.471,1.667,1.891,2.085
24,New Orleans,1.999,1.909,1.625,1.92,2.08
25,Brooklyn,2.0,2.462,1.6,1.903,2.103
26,Phoenix,2.016,2.542,1.833,1.923,2.11
27,LA Lakers,2.05,1.885,1.5,2.072,2.028
28,Milwaukee,2.054,2.333,1.8,1.917,2.204
29,New York,2.078,2.032,2.5,1.967,2.197
30,Philadelphia,2.162,2.286,2.1,2.166,2.159
