Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,81.3,76.0,76.0,80.3,82.3
2,Brooklyn,84.3,82.3,86.0,83.7,84.8
3,LA Clippers,85.7,86.7,90.0,85.3,86.1
4,Golden State,86.3,79.7,78.0,86.7,85.9
5,Okla City,86.6,81.3,70.0,86.2,87.0
6,Philadelphia,86.8,94.7,103.0,87.0,86.6
7,New York,87.2,82.3,85.0,86.7,87.7
8,Minnesota,87.3,89.7,88.0,87.7,86.9
9,Sacramento,87.7,81.7,83.0,87.0,88.4
10,Detroit,87.9,89.0,86.0,88.8,87.1
11,Houston,88.2,91.7,82.0,88.0,88.4
12,Portland,88.3,87.0,80.0,87.2,89.3
13,Toronto,88.3,85.0,84.0,89.5,87.1
14,Miami,88.5,84.7,86.0,87.4,89.5
15,Boston,88.9,88.0,91.0,89.5,88.3
16,Charlotte,88.9,96.3,90.0,87.7,90.2
17,LA Lakers,89.1,90.0,89.0,88.7,89.6
18,Indiana,89.2,85.0,87.0,88.3,90.1
19,Phoenix,90.1,88.0,88.0,90.7,89.5
20,Cleveland,90.1,85.0,82.0,89.4,90.9
21,Atlanta,90.3,91.7,96.0,91.6,89.0
22,New Orleans,90.5,97.3,98.0,90.7,90.3
23,Milwaukee,90.9,88.7,93.0,91.7,90.1
24,Dallas,91.8,97.7,100.0,91.4,92.2
25,Memphis,91.9,94.7,94.0,92.4,91.3
26,Denver,92.4,90.0,96.0,92.3,92.5
27,San Antonio,92.5,92.7,97.0,92.2,92.9
28,Washington,92.8,94.0,98.0,92.9,92.8
29,Utah,93.0,100.7,98.0,93.7,92.2
30,Chicago,94.9,89.3,83.0,95.7,94.0
