Rank,Team,2025,Last 3,Last 1,Home,Away
1,Miami,14.027,20.769,21.782,14.328,13.746
2,Boston,14.163,20.579,19.219,14.49,13.832
3,San Antonio,14.247,14.949,11.55,14.729,13.762
4,Milwaukee,15.528,13.647,19.297,15.123,15.92
5,Denver,15.625,15.241,18.55,15.178,16.076
6,Cleveland,15.751,18.376,16.503,15.81,15.69
7,Houston,15.826,13.535,7.724,15.266,16.396
8,Chicago,15.86,12.992,13.894,14.957,16.782
9,Dallas,15.884,12.116,12.577,16.39,15.428
10,Minnesota,15.908,16.413,16.973,15.047,16.749
11,LA Lakers,15.91,22.087,24.421,16.486,15.319
12,LA Clippers,15.936,13.424,14.747,15.099,16.755
13,New York,16.036,21.567,15.658,16.347,15.724
14,Golden State,16.418,16.492,9.834,15.985,16.843
15,Utah,16.529,11.85,10.955,15.706,17.348
16,Philadelphia,16.632,18.117,13.669,16.34,16.92
17,Charlotte,16.641,9.053,9.64,17.77,15.528
18,New Orleans,16.709,19.024,22.741,16.514,16.904
19,Atlanta,17.022,13.723,10.317,15.875,18.125
20,Phoenix,17.092,11.166,3.274,16.473,17.709
21,Sacramento,17.238,14.581,24.682,17.471,17.002
22,Portland,17.474,16.06,10.547,17.923,17.023
23,Indiana,17.687,22.955,22.977,17.466,17.904
24,Memphis,17.727,20.574,26.307,17.276,18.179
25,Okla City,17.91,20.959,22.977,17.34,18.502
26,Washington,17.96,18.435,9.719,18.612,17.323
27,Detroit,18.093,16.681,22.865,17.62,18.564
28,Orlando,18.301,23.944,22.007,19.497,17.105
29,Brooklyn,18.354,22.141,23.09,18.597,18.111
30,Toronto,18.908,16.701,26.949,18.831,18.986
