Rank,Team,2025,Last 3,Last 1,Home,Away
1,Miami,14.0,20.0,22.0,14.2,13.9
2,Boston,14.1,20.0,19.0,14.3,13.8
3,San Antonio,14.6,15.0,12.0,15.2,14.1
4,Milwaukee,15.9,14.0,21.0,15.6,16.2
5,LA Lakers,16.0,21.7,24.0,16.6,15.4
6,LA Clippers,16.1,13.0,15.0,15.2,16.9
7,Minnesota,16.1,17.0,18.0,15.2,16.9
8,Denver,16.2,15.7,19.0,15.8,16.6
9,New York,16.2,22.3,16.0,16.5,15.8
10,Houston,16.2,13.3,7.0,15.6,16.8
11,Cleveland,16.3,19.3,17.0,16.4,16.1
12,Dallas,16.3,12.3,13.0,16.8,15.9
13,Golden State,16.7,16.7,10.0,16.3,17.1
14,Philadelphia,16.9,19.3,15.0,16.5,17.2
15,Chicago,16.9,13.7,14.0,15.9,17.9
16,Charlotte,16.9,9.0,9.0,17.9,15.9
17,New Orleans,17.2,20.3,24.0,17.0,17.3
18,Utah,17.2,13.0,11.0,16.3,18.1
19,Phoenix,17.2,11.0,3.0,16.6,17.9
20,Sacramento,17.6,13.7,24.0,17.8,17.5
21,Portland,18.0,17.0,10.0,18.5,17.5
22,Atlanta,18.1,14.0,11.0,17.0,19.2
23,Orlando,18.2,23.0,21.0,19.4,17.0
24,Indiana,18.3,23.0,22.0,18.1,18.6
25,Brooklyn,18.4,22.3,23.0,18.6,18.2
26,Okla City,18.5,21.0,22.0,18.0,19.1
27,Detroit,18.8,17.0,24.0,18.2,19.3
28,Washington,18.8,19.3,10.0,19.7,17.9
29,Memphis,19.0,21.3,28.0,18.5,19.4
30,Toronto,19.6,17.3,28.0,19.5,19.7
