Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,9.1,7.3,3.0,9.0,9.3
2,LA Clippers,9.9,9.7,11.0,9.5,10.2
3,Sacramento,10.0,8.7,10.0,10.2,9.7
4,Brooklyn,10.1,8.0,10.0,10.2,10.0
5,Atlanta,10.4,12.3,13.0,10.0,10.7
6,Detroit,10.5,13.3,13.0,11.3,9.8
7,Houston,10.6,13.7,3.0,10.6,10.5
8,Miami,10.7,9.0,8.0,10.2,11.1
9,Milwaukee,10.7,7.0,9.0,11.0,10.4
10,New York,10.8,6.3,6.0,10.8,10.7
11,Golden State,10.8,8.3,6.0,11.1,10.5
12,Boston,10.9,13.3,15.0,11.2,10.6
13,Chicago,10.9,9.0,9.0,11.3,10.6
14,Minnesota,11.1,10.3,7.0,11.5,10.7
15,Cleveland,11.2,5.7,5.0,10.8,11.7
16,Indiana,11.3,12.0,13.0,11.2,11.5
17,Charlotte,11.3,13.7,15.0,11.1,11.5
18,LA Lakers,11.3,15.0,18.0,11.2,11.5
19,Toronto,11.5,8.7,9.0,12.2,10.8
20,Phoenix,11.5,7.7,10.0,11.5,11.6
21,Philadelphia,11.5,15.3,15.0,11.4,11.7
22,Memphis,11.6,13.3,12.0,11.6,11.5
23,Okla City,11.6,13.7,12.0,12.1,11.2
24,Denver,11.6,10.0,15.0,11.3,12.0
25,Utah,11.7,12.0,17.0,11.8,11.6
26,New Orleans,11.9,13.3,17.0,12.6,11.1
27,Portland,11.9,12.0,13.0,11.4,12.5
28,San Antonio,12.1,13.7,12.0,11.4,12.8
29,Dallas,12.2,16.7,16.0,12.3,12.1
30,Washington,12.9,13.3,9.0,13.1,12.8
