Rank,Team,2025,Last 3,Last 1,Home,Away
1,San Antonio,12.6%,13.0%,10.2%,12.9%,12.2%
2,Miami,12.7%,15.7%,15.9%,12.8%,12.6%
3,Boston,13.2%,17.5%,16.0%,13.4%,13.0%
4,Denver,13.9%,13.7%,15.2%,13.7%,14.2%
5,Milwaukee,14.1%,12.0%,17.6%,13.8%,14.4%
6,Dallas,14.1%,10.3%,10.8%,15.0%,13.4%
7,Chicago,14.1%,13.7%,12.8%,13.4%,14.9%
8,Utah,14.2%,10.1%,9.5%,13.6%,14.8%
9,LA Lakers,14.3%,19.4%,23.3%,15.2%,13.5%
10,New Orleans,14.4%,15.1%,20.9%,14.6%,14.2%
11,Cleveland,14.5%,16.7%,14.9%,14.7%,14.3%
12,New York,14.5%,19.2%,12.8%,15.0%,14.1%
13,Philadelphia,14.5%,16.6%,12.3%,14.2%,14.9%
14,Minnesota,14.8%,14.4%,14.5%,14.0%,15.5%
15,Charlotte,14.8%,7.7%,9.7%,16.0%,13.6%
16,Phoenix,14.8%,9.9%,2.8%,14.5%,15.0%
17,Houston,14.8%,12.3%,6.8%,14.6%,15.1%
18,LA Clippers,14.8%,11.0%,12.5%,14.5%,15.2%
19,Golden State,15.2%,14.7%,8.3%,14.8%,15.6%
20,Atlanta,15.2%,12.1%,8.9%,14.2%,16.1%
21,Sacramento,15.3%,12.9%,20.0%,15.5%,15.1%
22,Washington,15.6%,16.2%,8.5%,16.1%,15.1%
23,Portland,15.8%,16.1%,12.3%,16.3%,15.3%
24,Indiana,16.0%,22.0%,21.4%,16.0%,16.1%
25,Memphis,16.2%,18.3%,23.9%,16.0%,16.4%
26,Brooklyn,16.4%,18.5%,20.4%,16.6%,16.2%
27,Detroit,16.6%,16.3%,20.7%,16.1%,17.1%
28,Toronto,17.0%,15.1%,22.4%,17.0%,17.1%
29,Orlando,17.2%,21.6%,17.5%,18.8%,15.8%
30,Okla City,17.3%,20.5%,24.2%,17.0%,17.6%
