Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,18.2%,16.9%,16.3%,18.8%,17.6%
2,New York,17.5%,20.7%,20.0%,17.5%,17.6%
3,LA Lakers,17.5%,19.0%,21.6%,18.0%,17.0%
4,Minnesota,17.3%,17.8%,17.5%,17.4%,17.2%
5,Indiana,17.2%,19.6%,21.3%,17.8%,16.7%
6,Milwaukee,17.0%,16.2%,15.6%,17.1%,17.0%
7,Brooklyn,17.0%,17.7%,23.7%,16.8%,17.2%
8,Denver,16.9%,18.0%,16.2%,17.5%,16.2%
9,Cleveland,16.8%,23.1%,22.9%,16.5%,17.1%
10,Memphis,16.8%,17.4%,17.2%,17.1%,16.5%
11,Philadelphia,16.7%,15.7%,14.2%,16.1%,17.3%
12,Phoenix,16.7%,9.8%,7.0%,15.8%,17.5%
13,Detroit,16.6%,19.5%,19.8%,17.3%,15.9%
14,Houston,16.6%,21.6%,13.4%,16.0%,17.2%
15,Portland,16.6%,17.8%,17.2%,17.1%,16.1%
16,Utah,16.6%,15.0%,14.6%,16.1%,17.1%
17,Dallas,16.6%,15.3%,15.4%,16.7%,16.4%
18,Okla City,16.5%,19.6%,22.1%,16.0%,17.1%
19,Golden State,16.4%,18.7%,15.9%,16.3%,16.5%
20,Sacramento,16.3%,13.6%,13.4%,16.8%,15.8%
21,Boston,16.1%,19.7%,21.3%,15.5%,16.8%
22,Atlanta,16.1%,14.3%,12.8%,16.3%,16.0%
23,LA Clippers,16.1%,18.4%,21.6%,15.7%,16.4%
24,Charlotte,16.0%,12.3%,12.6%,16.2%,15.7%
25,Washington,15.8%,13.2%,11.0%,16.9%,14.7%
26,New Orleans,15.6%,15.3%,21.5%,15.5%,15.7%
27,Toronto,15.5%,10.7%,11.2%,15.5%,15.6%
28,San Antonio,15.3%,15.7%,20.4%,15.9%,14.8%
29,Miami,15.3%,12.6%,10.3%,14.9%,15.7%
30,Chicago,14.4%,13.4%,14.8%,14.0%,14.7%
