Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,20.1,18.3,18.0,20.8,19.5
2,Memphis,20.1,19.7,20.0,20.3,19.8
3,New York,19.7,24.0,23.0,19.7,19.6
4,Minnesota,19.4,20.7,20.0,19.7,19.2
5,Houston,19.4,23.7,14.0,18.7,20.1
6,Indiana,19.4,22.3,23.0,19.9,18.9
7,Denver,19.4,21.0,19.0,20.0,18.7
8,LA Lakers,19.3,20.3,23.0,19.9,18.7
9,Portland,19.3,22.0,21.0,19.9,18.7
10,Utah,19.3,18.7,16.0,18.5,20.0
11,Cleveland,19.2,27.7,27.0,19.0,19.5
12,Detroit,19.1,22.0,22.0,19.9,18.4
13,Atlanta,19.1,16.0,15.0,19.2,19.0
14,Brooklyn,18.9,19.7,25.0,18.7,19.1
15,Okla City,18.9,22.0,24.0,18.3,19.5
16,Milwaukee,18.9,18.3,19.0,19.1,18.7
17,Golden State,18.7,21.7,19.0,18.6,18.9
18,Dallas,18.7,17.0,17.0,18.8,18.5
19,Philadelphia,18.7,19.0,17.0,18.0,19.3
20,Sacramento,18.4,14.3,15.0,18.9,18.0
21,Phoenix,18.4,10.7,7.0,17.5,19.3
22,Washington,18.2,15.0,12.0,19.7,16.7
23,Charlotte,18.1,13.7,14.0,18.4,17.9
24,Toronto,18.1,12.7,13.0,18.0,18.1
25,New Orleans,17.9,18.3,25.0,17.9,18.0
26,Boston,17.8,21.0,23.0,17.1,18.6
27,LA Clippers,17.8,19.3,23.0,17.4,18.2
28,San Antonio,17.4,17.0,23.0,18.0,16.8
29,Miami,16.8,13.3,12.0,16.0,17.5
30,Chicago,16.7,15.7,16.0,16.4,17.1
