Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,48.7,44.7,36.0,48.6,48.7
2,Orlando,53.2,52.7,60.0,51.5,54.8
3,LA Clippers,53.6,66.7,72.0,53.2,54.0
4,Detroit,54.0,53.3,62.0,53.0,55.1
5,Sacramento,54.0,56.7,54.0,53.3,54.8
6,Golden State,54.5,54.7,72.0,54.9,54.1
7,Boston,54.6,54.0,52.0,55.2,54.0
8,Charlotte,54.8,51.3,42.0,54.3,55.3
9,Minnesota,54.8,56.7,64.0,54.0,55.6
10,Miami,54.9,48.7,50.0,55.3,54.6
11,Brooklyn,55.1,56.7,42.0,54.8,55.3
12,Cleveland,55.2,57.3,52.0,55.4,55.0
13,Houston,55.4,47.3,42.0,54.0,56.9
14,LA Lakers,55.4,56.0,58.0,54.4,56.5
15,Milwaukee,55.5,59.3,62.0,55.0,56.1
16,Memphis,55.7,60.0,68.0,55.9,55.4
17,New York,56.0,54.0,58.0,56.9,55.1
18,Toronto,56.0,60.7,64.0,57.3,54.8
19,Philadelphia,56.3,58.0,68.0,57.2,55.4
20,Phoenix,56.8,60.7,64.0,56.1,57.6
21,Portland,57.8,50.7,44.0,57.6,57.9
22,New Orleans,58.2,67.3,64.0,58.3,58.1
23,Indiana,58.4,48.7,48.0,58.8,58.1
24,Atlanta,58.5,60.0,64.0,59.0,58.0
25,Denver,58.6,64.0,70.0,58.4,58.8
26,Washington,58.9,61.3,78.0,59.8,58.0
27,San Antonio,59.0,51.3,64.0,59.3,58.7
28,Utah,59.4,68.0,66.0,59.8,59.1
29,Dallas,60.5,66.0,68.0,59.2,61.6
30,Chicago,61.5,51.3,56.0,62.1,60.9
