Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,43.5%,42.6%,41.4%,43.4%,43.6%
2,Boston,44.8%,45.8%,46.2%,44.6%,45.0%
3,Cleveland,45.6%,49.0%,50.0%,45.7%,45.4%
4,Memphis,45.6%,44.0%,43.6%,45.1%,46.2%
5,Houston,45.7%,43.3%,47.6%,44.8%,46.5%
6,Milwaukee,45.8%,49.6%,46.2%,45.5%,46.1%
7,Minnesota,45.9%,48.0%,52.3%,45.7%,46.1%
8,Detroit,46.1%,42.7%,47.7%,45.6%,46.5%
9,LA Lakers,46.2%,43.7%,40.4%,45.2%,47.2%
10,LA Clippers,46.2%,53.5%,52.2%,45.5%,47.0%
11,Golden State,46.5%,51.9%,62.8%,46.6%,46.5%
12,Denver,46.6%,48.5%,49.0%,46.5%,46.8%
13,Toronto,46.6%,50.2%,51.2%,46.1%,47.2%
14,Orlando,46.7%,48.2%,56.6%,45.5%,47.9%
15,Miami,46.7%,52.0%,54.7%,47.5%,45.9%
16,Charlotte,46.7%,46.0%,38.9%,46.0%,47.4%
17,Chicago,46.8%,41.8%,49.4%,46.6%,47.0%
18,Indiana,46.8%,41.6%,40.2%,47.0%,46.7%
19,Dallas,46.9%,47.8%,47.0%,45.3%,48.4%
20,New York,47.1%,49.0%,54.1%,47.0%,47.1%
21,Washington,47.1%,46.5%,50.0%,47.6%,46.6%
22,Portland,47.1%,43.7%,38.8%,47.2%,47.0%
23,Phoenix,47.3%,49.2%,52.3%,46.2%,48.4%
24,San Antonio,47.4%,45.3%,47.4%,47.9%,46.8%
25,Sacramento,47.4%,49.4%,49.4%,47.4%,47.4%
26,Utah,48.0%,49.7%,46.9%,47.5%,48.4%
27,Brooklyn,48.0%,51.4%,43.0%,48.3%,47.7%
28,Atlanta,48.2%,48.0%,50.0%,48.1%,48.3%
29,New Orleans,48.3%,50.7%,41.8%,47.2%,49.4%
30,Philadelphia,48.8%,44.4%,45.6%,49.0%,48.6%
