Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,34.3%,37.0%,39.3%,34.5%,34.1%
2,Boston,34.3%,36.7%,35.6%,34.2%,34.5%
3,Chicago,34.4%,29.2%,37.1%,34.1%,34.7%
4,Toronto,34.9%,36.6%,34.4%,33.8%,35.9%
5,Indiana,35.2%,32.4%,27.5%,34.9%,35.4%
6,LA Clippers,35.3%,43.8%,37.9%,33.6%,36.9%
7,Milwaukee,35.3%,38.1%,36.4%,35.5%,35.1%
8,Minnesota,35.3%,37.9%,40.0%,36.1%,34.5%
9,LA Lakers,35.4%,28.6%,14.9%,33.5%,37.4%
10,Charlotte,35.5%,37.8%,31.1%,33.2%,37.8%
11,Houston,35.7%,35.3%,41.9%,35.4%,35.9%
12,Memphis,35.7%,29.7%,20.0%,35.0%,36.4%
13,Utah,35.8%,34.0%,30.2%,34.7%,37.0%
14,Portland,36.1%,35.2%,32.1%,36.1%,36.1%
15,Cleveland,36.1%,39.0%,42.9%,35.8%,36.5%
16,Denver,36.2%,32.4%,30.8%,36.1%,36.3%
17,Brooklyn,36.2%,38.5%,38.1%,36.8%,35.5%
18,Miami,36.3%,44.7%,46.8%,37.0%,35.6%
19,Dallas,36.4%,39.4%,41.9%,33.7%,38.8%
20,Washington,36.4%,31.7%,31.3%,36.7%,36.2%
21,Orlando,36.4%,37.8%,54.2%,34.8%,38.1%
22,New York,36.4%,42.1%,51.5%,35.9%,36.9%
23,New Orleans,36.5%,34.3%,19.1%,34.5%,38.3%
24,San Antonio,36.5%,36.6%,35.9%,36.7%,36.2%
25,Golden State,36.5%,42.4%,41.9%,36.5%,36.5%
26,Detroit,36.6%,38.6%,33.3%,38.1%,35.2%
27,Phoenix,37.0%,39.8%,41.2%,36.1%,37.8%
28,Atlanta,37.6%,36.2%,38.1%,37.9%,37.4%
29,Philadelphia,37.8%,33.9%,32.5%,37.4%,38.2%
30,Sacramento,38.2%,38.7%,50.0%,39.2%,37.2%
