Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,31.2,27.3,24.0,30.9,31.5
2,Portland,35.2,36.0,28.0,34.3,36.0
3,Houston,35.2,45.3,43.0,35.2,35.3
4,Dallas,35.3,34.7,31.0,35.0,35.6
5,Golden State,35.4,33.0,31.0,35.5,35.4
6,Brooklyn,35.7,36.3,42.0,35.4,36.0
7,New York,35.8,31.7,33.0,34.2,37.3
8,Indiana,35.8,34.0,40.0,34.7,36.8
9,Minnesota,35.8,38.7,35.0,36.1,35.5
10,LA Clippers,36.4,29.7,29.0,36.4,36.5
11,Boston,36.5,36.3,45.0,36.1,37.0
12,Detroit,36.8,29.3,30.0,36.9,36.6
13,Cleveland,37.3,33.3,35.0,36.8,37.9
14,Philadelphia,37.6,38.3,40.0,37.5,37.8
15,Toronto,37.7,33.7,32.0,37.3,38.1
16,Atlanta,37.8,38.7,42.0,38.3,37.4
17,LA Lakers,38.0,39.7,47.0,38.5,37.6
18,Sacramento,38.1,31.0,28.0,37.2,39.0
19,Denver,38.2,36.0,39.0,38.0,38.3
20,Miami,38.3,44.0,47.0,37.6,38.9
21,Phoenix,38.4,32.7,34.0,38.4,38.3
22,Okla City,38.9,33.3,28.0,38.0,39.9
23,Milwaukee,39.2,37.7,33.0,40.0,38.4
24,Washington,39.2,41.0,32.0,39.1,39.3
25,San Antonio,39.3,44.7,39.0,39.6,39.1
26,Memphis,39.5,39.3,35.0,39.3,39.7
27,Chicago,39.6,40.0,35.0,39.7,39.5
28,Charlotte,40.0,49.3,45.0,39.9,40.1
29,New Orleans,40.1,45.7,47.0,39.6,40.6
30,Utah,41.5,47.0,43.0,42.2,40.8
