Rank,Team,2025,Last 3,Last 1,Home,Away
1,LA Clippers,49.2,48.3,54.0,49.1,49.2
2,New York,49.8,46.0,44.0,48.9,50.6
3,Denver,49.8,48.7,54.0,49.7,49.9
4,Sacramento,50.1,42.7,44.0,49.6,50.6
5,Minnesota,50.6,46.0,53.0,50.0,51.2
6,Orlando,50.9,48.3,45.0,49.8,52.1
7,Miami,51.1,50.0,55.0,50.3,52.0
8,Houston,51.1,51.0,43.0,51.4,50.9
9,Phoenix,51.2,49.0,48.0,51.4,51.0
10,Detroit,51.4,54.7,50.0,52.2,50.7
11,LA Lakers,51.6,57.7,65.0,51.4,51.9
12,Cleveland,51.7,48.7,54.0,51.9,51.5
13,Atlanta,52.3,59.0,67.0,51.7,52.9
14,Boston,52.3,58.0,68.0,52.0,52.6
15,Milwaukee,52.4,52.3,55.0,51.6,53.2
16,Golden State,52.5,51.0,48.0,53.3,51.7
17,Brooklyn,52.5,54.7,47.0,52.5,52.5
18,Utah,52.7,56.0,62.0,53.6,51.8
19,Portland,52.9,56.3,52.0,51.9,53.9
20,Memphis,53.1,54.0,46.0,52.6,53.5
21,Indiana,53.1,53.3,53.0,52.2,53.9
22,Philadelphia,53.3,59.0,68.0,53.3,53.4
23,Dallas,53.4,57.3,59.0,53.5,53.2
24,Charlotte,53.5,59.3,62.0,53.6,53.5
25,San Antonio,53.8,51.3,46.0,52.0,55.6
26,Toronto,53.9,55.0,54.0,54.0,53.8
27,New Orleans,54.1,59.3,62.0,55.2,52.9
28,Okla City,54.2,56.7,56.0,54.2,54.3
29,Chicago,54.5,54.7,57.0,54.6,54.4
30,Washington,57.1,59.0,51.0,57.1,57.0
