Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,17.3,19.0,23.0,18.5,16.0
2,Philadelphia,16.0,15.0,13.0,15.2,16.8
3,Atlanta,16.0,13.3,15.0,15.4,16.4
4,Orlando,15.9,14.3,11.0,16.4,15.5
5,Golden State,15.8,21.0,21.0,16.0,15.5
6,Portland,15.5,20.0,21.0,15.9,15.1
7,Toronto,15.1,17.0,12.0,14.7,15.5
8,Brooklyn,15.0,13.0,12.0,15.5,14.4
9,LA Clippers,14.9,12.0,12.0,15.3,14.6
10,Detroit,14.9,14.0,17.0,14.8,15.1
11,Memphis,14.9,8.7,8.0,14.7,15.1
12,Indiana,14.8,13.3,8.0,15.3,14.2
13,Minnesota,14.8,15.0,16.0,15.0,14.5
14,Cleveland,14.6,12.7,14.0,15.2,13.9
15,New York,14.4,14.7,13.0,14.7,14.2
16,Houston,14.2,12.7,7.0,14.1,14.2
17,New Orleans,14.0,10.3,10.0,14.7,13.3
18,Sacramento,13.9,11.7,10.0,14.3,13.4
19,San Antonio,13.7,12.0,13.0,13.5,13.8
20,Miami,13.6,10.7,12.0,13.1,14.2
21,LA Lakers,13.5,11.0,13.0,14.2,12.9
22,Washington,13.3,12.7,8.0,14.1,12.6
23,Dallas,13.3,14.0,12.0,13.2,13.3
24,Charlotte,13.3,10.7,13.0,13.2,13.3
25,Denver,12.8,11.7,10.0,13.0,12.5
26,Milwaukee,12.7,13.0,13.0,13.1,12.4
27,Boston,12.7,12.3,14.0,11.8,13.7
28,Chicago,12.6,16.0,15.0,12.4,12.9
29,Phoenix,12.2,13.3,13.0,12.2,12.2
30,Utah,11.8,13.3,13.0,11.3,12.3
