Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,15.0%,16.7%,21.3%,16.0%,14.0%
2,Orlando,14.7%,13.9%,11.2%,15.1%,14.2%
3,Philadelphia,14.2%,12.3%,10.4%,13.5%,14.8%
4,Golden State,14.0%,19.2%,19.5%,14.2%,13.9%
5,Atlanta,13.6%,11.7%,12.5%,13.2%,14.1%
6,Brooklyn,13.6%,11.9%,10.9%,14.1%,13.1%
7,LA Clippers,13.5%,11.3%,10.6%,13.9%,13.2%
8,Portland,13.5%,17.0%,19.5%,13.9%,13.1%
9,Minnesota,13.2%,13.2%,14.2%,13.4%,13.0%
10,Toronto,13.1%,15.1%,10.6%,12.7%,13.5%
11,Detroit,13.1%,12.1%,14.4%,12.9%,13.2%
12,New York,12.9%,13.3%,12.0%,13.1%,12.7%
13,Indiana,12.9%,11.9%,7.4%,13.4%,12.4%
14,Cleveland,12.7%,11.4%,13.0%,13.3%,12.2%
15,Memphis,12.6%,7.4%,6.8%,12.4%,12.8%
16,Houston,12.6%,11.3%,7.5%,12.5%,12.6%
17,Sacramento,12.3%,11.4%,9.3%,12.7%,11.9%
18,Miami,12.3%,10.1%,11.0%,11.9%,12.7%
19,New Orleans,12.2%,8.6%,8.2%,12.7%,11.7%
20,LA Lakers,12.1%,9.7%,11.2%,12.6%,11.5%
21,San Antonio,11.9%,10.5%,11.2%,11.8%,12.0%
22,Charlotte,11.8%,9.4%,12.0%,11.8%,11.7%
23,Dallas,11.6%,11.8%,10.1%,11.5%,11.6%
24,Boston,11.5%,11.2%,12.3%,10.7%,12.4%
25,Washington,11.3%,10.7%,7.2%,11.8%,10.9%
26,Milwaukee,11.2%,11.9%,11.0%,11.5%,11.0%
27,Denver,11.1%,10.3%,8.5%,11.3%,10.8%
28,Phoenix,10.9%,12.6%,12.8%,10.9%,10.9%
29,Chicago,10.8%,14.0%,13.7%,10.5%,11.0%
30,Utah,10.2%,11.0%,11.1%,9.8%,10.6%
