Rank,Team,2025,Last 3,Last 1,Home,Away
1,Washington,0.286,0.000,0.000,0.571,0.0
2,Indiana,0.292,--,--,0.25,0.333
3,New York,0.346,--,--,0.546,0.2
4,Portland,0.375,--,--,0.333,0.429
5,Houston,0.4,--,--,0.364,0.429
6,Chicago,0.412,--,--,0.5,0.286
7,Atlanta,0.417,--,--,0.417,0.417
8,Cleveland,0.421,--,--,0.3,0.556
9,Denver,0.423,--,--,0.571,0.25
10,Orlando,0.429,0.000,--,0.429,0.429
11,LA Lakers,0.455,1.000,--,0.375,0.5
12,Golden State,0.458,1.000,--,0.357,0.6
13,Phoenix,0.474,--,--,0.143,0.667
14,Detroit,0.48,0.667,1.000,0.6,0.3
14,LA Clippers,0.48,--,--,0.5,0.467
16,Charlotte,0.482,--,--,0.467,0.5
17,Minnesota,0.483,1.000,--,0.625,0.308
18,Boston,0.5,--,--,0.546,0.444
19,Philadelphia,0.526,--,--,0.546,0.5
20,Okla City,0.546,--,--,1.0,0.286
21,Brooklyn,0.556,--,--,0.455,0.625
22,Memphis,0.56,1.000,1.000,0.583,0.539
23,Sacramento,0.577,1.000,--,0.6,0.546
24,San Antonio,0.591,0.000,--,0.667,0.539
25,Milwaukee,0.6,1.000,1.000,0.667,0.571
26,Dallas,0.609,--,--,0.556,0.643
27,Toronto,0.619,--,--,0.6,0.636
28,Miami,0.68,--,--,0.833,0.539
29,New Orleans,0.727,--,--,0.714,0.75
30,Utah,0.75,--,--,0.692,0.857
