Rank,Team,2025,Last 3,Last 1,Home,Away
1,Denver,54.6%,49.2%,49.5%,52.1%,57.3%
2,Toronto,53.8%,52.6%,54.2%,52.9%,54.7%
3,New York,52.9%,55.3%,59.3%,54.2%,51.5%
4,Sacramento,52.6%,55.2%,52.8%,51.1%,54.2%
5,New Orleans,52.1%,49.5%,56.0%,51.0%,53.3%
6,Houston,52.1%,48.4%,62.9%,52.0%,52.2%
7,LA Clippers,51.7%,57.5%,61.4%,51.4%,52.1%
8,Detroit,51.7%,55.1%,51.3%,51.8%,51.6%
9,Dallas,51.7%,55.1%,54.7%,51.2%,52.1%
10,Orlando,51.5%,57.4%,56.2%,50.9%,52.2%
11,Indiana,51.1%,43.5%,39.6%,50.6%,51.6%
12,Memphis,50.8%,47.2%,43.5%,50.9%,50.6%
13,Atlanta,50.6%,52.8%,49.1%,50.7%,50.5%
14,Okla City,50.2%,46.5%,46.6%,49.3%,51.3%
15,Portland,49.9%,56.1%,49.5%,47.7%,52.1%
16,Philadelphia,49.2%,46.7%,47.1%,50.1%,48.4%
17,Washington,48.7%,50.8%,50.4%,49.1%,48.3%
18,San Antonio,48.6%,46.9%,51.2%,48.3%,48.8%
19,Miami,48.4%,45.4%,53.0%,48.7%,48.2%
20,LA Lakers,48.3%,37.7%,45.8%,47.5%,49.2%
21,Charlotte,48.2%,48.6%,48.8%,48.2%,48.2%
22,Milwaukee,48.0%,42.0%,37.3%,46.6%,49.3%
23,Phoenix,47.3%,47.1%,51.0%,46.3%,48.4%
24,Chicago,47.2%,52.6%,51.1%,48.1%,46.2%
25,Utah,47.1%,46.4%,45.7%,46.8%,47.5%
26,Cleveland,46.6%,41.2%,49.5%,47.1%,46.2%
27,Minnesota,45.9%,45.7%,48.9%,46.5%,45.2%
28,Brooklyn,45.8%,40.0%,49.5%,47.2%,44.4%
29,Golden State,44.5%,51.7%,50.9%,44.1%,44.9%
30,Boston,41.2%,38.0%,46.9%,41.2%,41.3%
