Rank,Team,2025,Last 3,Last 1,Home,Away
1,Memphis,106.9,103.7,106.4,107.1,106.8
2,Atlanta,106.5,102.0,106.6,106.9,106.1
3,Chicago,106.4,105.2,100.8,106.2,106.5
4,Washington,104.6,104.9,102.9,105.8,103.4
5,Utah,104.2,109.7,100.4,103.9,104.5
6,Toronto,103.8,103.8,103.9,103.7,103.9
7,Detroit,103.8,101.9,105.0,103.4,104.1
8,Indiana,103.6,100.2,95.8,103.5,103.7
9,Denver,103.5,102.8,102.4,103.9,103.0
10,Okla City,103.5,100.2,95.8,103.6,103.3
11,Cleveland,103.2,105.2,103.0,103.8,102.5
12,Portland,102.9,105.9,94.8,103.2,102.7
13,New Orleans,102.9,106.9,105.5,103.2,102.6
14,San Antonio,102.8,100.3,103.9,103.2,102.4
15,Dallas,102.7,101.8,103.4,102.2,103.1
16,Milwaukee,102.5,102.6,108.8,103.2,101.8
17,Houston,102.4,98.5,90.6,102.2,102.6
18,Sacramento,102.3,93.7,97.2,101.7,103.0
19,Golden State,101.7,101.1,101.7,101.8,101.6
20,Charlotte,101.4,99.4,93.4,100.7,102.1
21,Philadelphia,101.3,106.7,109.7,100.8,101.9
22,Minnesota,101.0,103.6,106.1,100.8,101.1
23,New York,101.0,103.6,102.2,101.2,100.7
24,Phoenix,100.9,98.5,91.6,100.7,101.1
25,LA Lakers,100.8,98.1,98.3,100.9,100.6
26,LA Clippers,100.8,96.8,101.7,100.8,100.7
27,Brooklyn,100.3,100.9,99.6,100.2,100.3
28,Miami,100.1,96.3,101.0,99.2,101.0
29,Orlando,99.4,96.1,95.4,99.4,99.4
30,Boston,99.3,97.2,98.9,98.8,99.8
