Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,57.9%,49.0%,47.3%,58.3%,57.4%
2,Denver,56.9%,53.8%,57.5%,56.7%,57.0%
3,Boston,56.4%,54.5%,41.3%,57.0%,55.8%
4,Indiana,56.3%,46.5%,42.9%,57.2%,55.4%
5,LA Lakers,56.1%,52.7%,53.7%,57.1%,55.0%
6,Phoenix,55.6%,57.9%,62.5%,55.9%,55.4%
7,Milwaukee,55.6%,47.3%,44.0%,56.3%,54.9%
8,Chicago,55.5%,54.0%,50.0%,54.8%,56.3%
9,Sacramento,55.4%,53.0%,50.0%,54.9%,56.0%
10,Okla City,55.2%,47.7%,51.1%,55.7%,54.6%
11,Memphis,55.2%,50.7%,51.0%,57.0%,53.4%
12,LA Clippers,55.2%,60.6%,56.4%,55.4%,54.9%
13,Dallas,55.1%,54.6%,59.2%,55.1%,55.1%
14,San Antonio,55.1%,55.2%,61.5%,56.5%,53.7%
15,New York,55.0%,56.0%,59.3%,56.4%,53.6%
16,Atlanta,55.0%,51.8%,50.9%,56.0%,54.0%
17,Detroit,54.8%,54.4%,61.7%,54.6%,55.0%
18,Minnesota,54.4%,55.3%,45.1%,55.1%,53.7%
19,Utah,54.0%,54.4%,51.1%,53.6%,54.3%
20,Miami,53.9%,54.2%,55.0%,54.7%,53.2%
21,Philadelphia,53.7%,51.0%,48.0%,53.0%,54.6%
22,Orlando,53.3%,50.9%,50.0%,53.2%,53.5%
23,Portland,52.7%,53.6%,50.0%,52.6%,52.9%
24,Golden State,52.4%,49.1%,54.9%,52.0%,52.8%
25,Toronto,52.3%,53.2%,55.2%,52.4%,52.2%
26,Washington,51.9%,50.3%,56.6%,52.7%,51.1%
27,New Orleans,51.8%,48.8%,52.8%,50.9%,52.8%
28,Houston,51.6%,50.0%,42.4%,51.7%,51.5%
29,Brooklyn,51.5%,48.4%,66.7%,51.5%,51.6%
30,Charlotte,49.9%,45.9%,45.7%,50.7%,49.1%
