Rank,Team,2025,Last 3,Last 1,Home,Away
1,Denver,63.9%,54.3%,47.6%,62.4%,65.3%
2,Toronto,62.7%,56.8%,59.8%,62.2%,63.2%
3,New York,62.1%,65.4%,62.8%,62.8%,61.4%
4,Houston,61.9%,67.5%,78.6%,61.3%,62.6%
5,New Orleans,61.5%,56.7%,58.2%,61.3%,61.7%
6,LA Clippers,61.3%,62.0%,67.1%,61.2%,61.4%
7,Dallas,61.1%,63.4%,56.3%,60.5%,61.6%
8,Sacramento,60.9%,62.6%,62.9%,60.7%,61.1%
9,Detroit,60.7%,63.2%,58.0%,60.7%,60.7%
10,Indiana,60.0%,59.0%,60.0%,59.6%,60.3%
11,Memphis,59.7%,59.1%,61.3%,59.3%,60.1%
12,Orlando,59.1%,61.4%,56.8%,59.1%,59.1%
13,Atlanta,59.1%,60.6%,53.9%,58.6%,59.5%
14,Okla City,58.8%,60.0%,54.0%,58.0%,59.6%
15,Portland,58.2%,58.9%,56.3%,57.3%,59.0%
16,Milwaukee,57.5%,56.0%,55.6%,56.7%,58.2%
17,Philadelphia,57.4%,54.3%,53.2%,58.4%,56.5%
18,LA Lakers,57.1%,47.5%,52.6%,56.0%,58.3%
19,Charlotte,57.0%,56.2%,54.1%,56.7%,57.3%
20,Miami,56.9%,48.0%,44.9%,57.1%,56.6%
21,Washington,56.5%,58.6%,58.9%,57.1%,55.8%
22,Phoenix,56.0%,50.0%,47.6%,54.1%,58.0%
23,San Antonio,55.9%,56.1%,61.9%,55.8%,56.0%
24,Utah,55.1%,51.4%,52.8%,54.9%,55.2%
25,Minnesota,54.8%,56.6%,60.0%,55.7%,53.9%
26,Chicago,54.3%,57.7%,55.4%,54.9%,53.8%
27,Brooklyn,54.2%,49.6%,52.7%,55.4%,53.1%
28,Cleveland,54.2%,55.0%,61.1%,54.0%,54.5%
29,Golden State,53.3%,65.2%,56.7%,53.1%,53.5%
30,Boston,47.1%,45.0%,53.5%,46.7%,47.5%
