Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Tyrese Maxey,25,PHI,PG,17,17,679,100,0,0,0,0,1.1,13.2,22,18,16,3,47,4,312,9,15
2,Franz Wagner,24,ORL,SF,19,19,656,0,0,51,47,2,4.8,-3.6,14,16,26,1,61,10,180,7,18
3,Devin Booker,29,PHO,SG,18,18,640,12,62,26,1,0,3.6,-3.2,35,29,21,6,55,7,320,13,17
4,Trey Murphy III,25,NOP,SF,18,18,636,0,5,78,18,0,-12.3,-2.1,20,14,18,3,29,8,129,6,12
5,Dyson Daniels,22,ATL,SG,19,19,626,0,51,48,1,0,5.6,11.7,20,16,26,2,15,7,263,5,11
6,Desmond Bane,27,ORL,SG,19,19,615,3,83,14,0,0,5.0,-2.1,19,10,26,9,25,1,213,7,20
7,Evan Mobley,24,CLE,PF,18,18,615,0,0,0,36,65,5.9,4.8,17,25,30,2,55,0,177,11,8
8,Toumani Camara,25,POR,PF,18,18,611,0,0,2,78,20,-2.4,-1.2,31,5,29,1,11,29,120,2,15
9,Deni Avdija,25,POR,SF,18,18,605,0,25,66,9,0,1.0,9.9,29,25,39,6,68,1,244,15,19
10,James Harden,36,LAC,PG,17,17,605,39,59,1,0,0,-4.1,8.7,46,15,14,3,62,2,330,14,17
11,Lauri Markkanen,28,UTA,PF,17,17,605,0,0,19,70,12,-3.8,13.9,10,11,19,2,41,2,96,11,15
12,Cooper Flagg,19,DAL,PG,18,18,604,21,77,2,0,0,-12.1,-16.6,14,17,25,1,27,3,141,8,14
13,Brandon Ingram,28,TOR,SF,18,18,602,0,1,78,21,0,3.7,-9.2,24,18,24,5,44,0,174,12,24
14,Shai Gilgeous-Alexander,27,OKC,PG,18,18,595,100,0,0,0,0,20.7,12.8,20,7,15,2,76,1,308,21,11
15,Miles Bridges,27,CHO,PF,17,17,594,0,0,5,95,0,-6.3,-6.8,19,4,14,1,32,0,155,1,9
16,Scottie Barnes,24,TOR,PF,18,18,593,0,0,0,78,22,6.7,0.6,24,6,29,6,29,3,212,8,8
17,Nikola Jokić,30,DEN,C,17,17,592,0,0,0,0,100,14.7,16.6,38,14,20,4,46,1,432,8,8
18,Keyonte George,22,UTA,PG,17,17,589,100,0,0,0,0,-7.9,-1.0,28,18,10,7,56,5,288,9,21
