PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,5,0,5,0.0,165.53333333333333,18,39,0.462,17,34,0.5,1,2,0.5,0,18,18,14,3,5,0,2,13,5,54,-60,108.6,0,0,113.0,1,355,405,355,41,144,142,203,12,30,35,281,264,272,332,87,145,97,208,76,267,233,352,190,130,415,132,67,5,118,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,1,0,1,0.0,2.7333333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1.2,0,0,1.0,381,355,90,355,405,387,393,387,319,362,319,319,326,319,332,365,370,376,349,337,267,1,1,362,395,197,408,67,5,407,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,2,1,1,0.5,35.766666666666666,10,19,0.526,1,6,0.167,4,6,0.667,5,7,12,0,1,0,0,1,5,4,25,22,38.4,1,0,38.0,331,234,90,201,316,232,250,108,268,254,301,185,180,233,119,242,217,376,302,337,267,150,141,209,246,78,298,33,5,295,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,5,4,1,0.8,105.05833333333334,20,47,0.426,14,31,0.452,11,12,0.917,2,3,5,5,4,3,0,2,8,11,65,55,83.5,0,0,95.0,1,27,90,90,170,127,111,254,23,43,74,81,98,82,218,324,312,233,182,157,267,233,217,88,98,13,190,67,5,154,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,5,1,4,0.2,115.84,26,51,0.51,10,29,0.345,2,2,1.0,5,7,12,9,5,6,2,0,13,2,64,20,110.9,0,0,111.0,1,234,350,305,141,84,96,129,65,53,178,238,264,1,119,242,217,155,154,53,101,1,352,280,101,82,125,67,5,122,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,3,3,0,1.0,9.433333333333334,2,2,1.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,3,1,6,-6,7.2,0,0,7.0,282,85,1,1,378,339,374,1,319,362,319,238,264,1,267,388,370,376,349,337,267,1,99,315,344,271,378,67,5,375,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,5,5,0,1.0,126.765,25,51,0.49,4,13,0.308,15,21,0.714,1,11,12,18,8,7,2,2,8,17,69,64,129.4,0,0,121.0,1,1,1,1,121,90,96,169,169,163,220,52,44,207,267,182,217,66,82,31,101,233,217,43,82,7,98,67,5,103,1
201143,Al Horford,Al,1610612744,GSW,39.0,2,0,2,0.0,45.29833333333333,4,11,0.364,2,7,0.286,6,6,1.0,1,11,12,4,3,4,2,1,3,3,16,-16,51.4,0,0,46.0,331,355,199,355,305,307,303,312,231,241,232,151,180,1,267,182,217,257,208,113,101,150,99,241,285,327,262,67,5,268,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,4,4,0,1.0,75.24,8,20,0.4,4,13,0.308,3,4,0.75,2,6,8,11,2,3,1,2,6,4,23,73,59.1,0,0,54.0,211,27,1,1,238,250,241,281,169,163,220,214,215,179,218,263,269,130,258,157,161,233,163,209,254,4,244,67,5,246,1
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,3,1,2,0.333,88.69166666666666,22,45,0.489,4,11,0.364,4,11,0.364,6,19,25,5,2,2,2,1,10,8,52,20,99.5,2,0,94.0,282,234,199,271,210,109,122,172,169,188,162,185,106,306,90,77,83,233,258,207,101,150,273,131,137,82,158,14,5,157,1
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,5,4,1,0.8,188.02,42,94,0.447,2,10,0.2,20,28,0.714,18,21,39,32,19,3,4,5,19,27,106,-11,202.8,2,0,193.0,1,27,90,90,5,20,11,230,231,196,286,34,30,207,12,57,28,16,4,157,42,381,416,16,27,301,23,14,5,22,1
1642873,Amari Williams,Amari,1610612738,BOS,23.0,1,1,0,1.0,15.361666666666666,0,0,0.0,0,0,0.0,1,2,0.5,0,3,3,0,0,0,2,0,1,2,1,-10,10.6,0,0,8.0,381,234,1,1,361,387,404,387,319,362,319,281,264,272,332,324,343,376,349,337,101,1,33,280,391,294,367,67,5,371,1
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,5,4,1,0.8,197.725,34,73,0.466,2,8,0.25,14,14,1.0,15,32,47,21,11,8,1,6,17,11,84,32,187.9,2,0,172.0,1,27,90,90,1,39,34,197,231,227,258,60,80,1,16,19,11,47,46,18,161,399,405,88,58,44,34,14,5,43,1
