Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,61.6,62.3,63.0,61.0,62.1
2,Toronto,60.9,51.3,47.0,58.8,62.8
3,Cleveland,60.5,54.7,45.0,60.6,60.4
4,Houston,59.8,57.3,57.0,59.1,60.3
5,Chicago,59.4,61.3,72.0,58.9,59.9
6,Okla City,59.3,65.3,64.0,57.8,60.6
7,New York,58.9,58.0,57.0,60.0,57.8
8,Minnesota,58.8,59.0,66.0,55.4,61.5
9,Milwaukee,58.7,56.7,56.0,60.4,56.5
10,Detroit,58.4,55.7,56.0,59.5,57.5
11,Atlanta,58.2,59.0,58.0,54.7,60.2
12,Phoenix,58.1,49.7,45.0,59.7,55.8
13,San Antonio,58.0,55.3,59.0,58.5,57.3
14,LA Lakers,57.9,61.7,66.0,60.3,56.3
15,Miami,57.9,54.3,53.0,58.5,57.2
16,Utah,57.8,52.3,62.0,58.7,56.9
17,Portland,57.8,49.0,48.0,58.1,57.5
18,Golden State,57.7,53.0,41.0,56.5,58.5
19,Orlando,57.3,66.3,58.0,56.6,58.0
20,Memphis,57.2,63.0,69.0,57.1,57.2
21,Boston,56.3,56.7,60.0,58.3,53.8
22,Charlotte,55.8,56.0,54.0,52.1,59.4
23,Dallas,55.7,58.7,58.0,57.3,52.2
24,Washington,55.2,56.0,55.0,51.1,58.0
25,Indiana,54.9,54.0,46.0,57.4,52.9
26,New Orleans,54.2,58.3,54.0,54.1,54.3
27,Sacramento,54.0,59.0,55.0,55.8,52.4
28,LA Clippers,53.8,58.0,52.0,53.5,54.1
29,Philadelphia,53.8,48.0,43.0,54.9,52.3
30,Brooklyn,52.9,51.3,52.0,54.1,51.9
