Rank,Team,2026,Last 3,Last 1,Home,Away
1,Atlanta,0.293,0.306,0.313,0.272,0.305
2,Toronto,0.285,0.248,0.173,0.277,0.292
3,Denver,0.284,0.295,0.324,0.303,0.267
4,New York,0.281,0.273,0.25,0.279,0.285
5,Memphis,0.278,0.319,0.346,0.277,0.28
6,Miami,0.277,0.273,0.313,0.274,0.28
7,Utah,0.276,0.278,0.299,0.291,0.258
8,Chicago,0.275,0.243,0.257,0.276,0.274
9,Golden State,0.263,0.289,0.263,0.289,0.247
10,Milwaukee,0.259,0.271,0.304,0.265,0.252
11,Cleveland,0.257,0.272,0.262,0.257,0.256
12,Detroit,0.254,0.244,0.199,0.25,0.258
13,San Antonio,0.254,0.221,0.163,0.283,0.213
14,LA Lakers,0.252,0.262,0.29,0.258,0.248
15,Orlando,0.251,0.321,0.351,0.231,0.273
16,Phoenix,0.251,0.212,0.25,0.241,0.264
17,Okla City,0.25,0.285,0.187,0.265,0.237
18,Houston,0.248,0.244,0.252,0.238,0.256
19,Charlotte,0.247,0.215,0.144,0.252,0.243
20,Sacramento,0.247,0.253,0.2,0.24,0.253
21,Boston,0.246,0.259,0.238,0.258,0.23
22,Philadelphia,0.246,0.245,0.203,0.25,0.239
23,Minnesota,0.245,0.2,0.246,0.245,0.246
24,Brooklyn,0.244,0.25,0.199,0.238,0.249
25,Washington,0.244,0.28,0.284,0.233,0.251
26,LA Clippers,0.238,0.258,0.24,0.263,0.218
27,Portland,0.235,0.207,0.201,0.232,0.237
28,New Orleans,0.229,0.259,0.31,0.237,0.218
29,Dallas,0.222,0.23,0.209,0.223,0.22
30,Indiana,0.219,0.215,0.193,0.226,0.213
