Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,8.2,10.0,10.0,12.6,4.3
2,New York,5.2,10.0,25.0,7.8,2.3
3,Houston,4.9,0.0,-12.0,5.3,4.7
4,Denver,4.6,3.0,8.0,8.9,0.9
5,San Antonio,4.5,7.7,2.0,7.9,-0.4
6,Miami,4.3,6.0,6.0,6.3,2.1
7,Minnesota,4.2,-5.0,-10.0,10.4,-0.7
8,Detroit,3.8,11.3,1.0,3.3,4.2
9,Orlando,3.6,0.3,26.0,3.5,3.8
10,Toronto,2.8,3.7,1.0,5.1,0.7
11,Phoenix,2.6,2.0,22.0,5.0,-0.8
12,Boston,2.3,4.3,-1.0,5.9,-2.1
13,Atlanta,1.6,-4.7,-22.0,2.0,1.3
14,Philadelphia,1.0,-10.7,-26.0,-0.8,3.6
15,LA Lakers,0.5,2.0,3.0,1.7,-0.4
16,Golden State,0.3,10.3,12.0,6.1,-3.7
17,Portland,-1.0,-3.7,-2.0,-0.4,-1.5
18,Chicago,-1.2,-13.3,-16.0,-1.4,-1.1
19,LA Clippers,-1.3,-1.7,-3.0,2.0,-3.9
20,Cleveland,-1.4,3.7,-3.0,-2.9,0.6
21,Charlotte,-2.2,-9.3,-25.0,0.8,-5.1
22,Memphis,-3.4,-9.0,-15.0,0.7,-8.0
23,New Orleans,-3.5,7.0,15.0,-2.5,-5.0
24,Utah,-4.4,-6.0,-12.0,1.7,-11.3
25,Milwaukee,-4.8,-11.7,-6.0,-4.0,-6.0
26,Indiana,-5.4,-8.0,-1.0,-2.9,-7.4
27,Dallas,-5.4,-6.0,-8.0,-4.5,-7.5
28,Sacramento,-6.4,-11.3,-22.0,-9.7,-3.5
29,Washington,-6.5,6.0,22.0,-1.7,-9.8
30,Brooklyn,-6.9,-0.3,-3.0,-8.0,-5.9
