Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,7.9,12.3,-2.0,5.0,10.5
2,Denver,5.7,-0.3,2.0,4.4,6.9
3,Houston,5.6,7.7,16.0,5.6,5.6
4,Cleveland,5.5,1.3,-8.0,6.7,3.9
5,Toronto,3.9,4.0,1.0,2.9,4.8
6,LA Lakers,3.0,9.0,14.0,3.6,2.6
7,Detroit,2.6,-6.3,-4.0,3.0,2.2
8,Boston,2.2,-3.0,4.0,0.3,4.6
9,Orlando,1.9,14.3,15.0,2.0,1.8
10,Milwaukee,1.8,2.3,3.0,3.2,-0.1
10,Phoenix,1.8,-2.3,-10.0,3.5,-0.6
12,San Antonio,1.8,-3.3,11.0,0.0,4.3
13,Miami,1.4,-0.3,-3.0,0.4,2.4
14,New York,1.4,-0.3,3.0,4.4,-2.1
15,Minnesota,0.7,2.0,2.0,-1.9,2.8
16,Atlanta,0.2,5.0,3.0,-4.7,3.1
17,Golden State,0.1,-7.3,-16.0,4.3,-2.8
18,Dallas,-0.5,3.7,4.0,0.2,-1.8
19,Memphis,-1.0,7.7,15.0,-0.5,-1.6
20,Portland,-1.4,-5.7,-11.0,-2.0,-0.9
21,Chicago,-1.5,-2.7,3.0,0.8,-3.6
22,Charlotte,-2.7,-6.0,-3.0,-5.9,0.6
23,Philadelphia,-2.8,-6.3,-15.0,-2.6,-3.1
24,Utah,-3.5,-11.0,-5.0,-2.6,-4.5
25,Brooklyn,-3.6,-4.7,-10.0,-5.4,-2.0
26,LA Clippers,-5.1,-4.0,-14.0,-3.5,-6.4
27,Sacramento,-5.3,9.0,10.0,-3.4,-6.9
28,Indiana,-6.1,2.0,-1.0,-2.1,-9.2
29,New Orleans,-7.0,-8.3,-15.0,-6.3,-8.0
30,Washington,-7.2,-10.0,-3.0,-12.6,-3.5
