Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,6.7,9.0,-3.0,3.8,9.4
2,Denver,5.1,0.7,0.0,4.0,6.0
3,Cleveland,4.9,3.0,-9.0,6.3,3.1
4,Toronto,3.0,4.0,5.0,3.3,2.7
5,Phoenix,2.3,0.3,-12.0,4.9,-1.3
6,Houston,2.3,1.7,10.0,2.3,2.2
7,New York,1.7,0.7,-2.0,3.7,-0.5
8,Golden State,1.2,-1.3,-10.0,3.5,-0.3
9,Minnesota,1.1,4.7,3.0,-1.5,3.2
10,Detroit,0.8,-1.7,-4.0,0.5,1.1
11,Orlando,0.8,7.0,12.0,1.3,0.2
11,Miami,0.8,0.0,-2.0,-0.6,2.3
13,Milwaukee,0.6,-3.0,2.0,1.1,0.0
14,LA Lakers,0.6,4.3,2.0,-1.3,1.9
15,Chicago,0.5,-2.7,1.0,2.0,-0.8
16,Memphis,0.5,4.7,7.0,0.7,0.3
17,Washington,0.4,-2.3,11.0,-0.3,0.9
18,Boston,0.4,-1.3,4.0,0.0,0.9
19,Atlanta,-0.5,1.0,-11.0,-1.9,0.3
20,Portland,-0.8,-0.3,-3.0,-4.5,1.8
21,Dallas,-0.9,2.3,0.0,0.1,-3.0
22,San Antonio,-1.4,-7.0,3.0,-2.3,0.0
23,LA Clippers,-2.2,0.3,-2.0,-1.5,-2.7
24,Brooklyn,-2.2,-1.0,-11.0,-3.8,-0.8
25,Charlotte,-2.2,-4.3,2.0,-6.1,1.7
26,Sacramento,-2.3,6.0,12.0,-0.7,-3.8
27,Utah,-2.4,-9.7,-10.0,-1.9,-2.9
28,Indiana,-5.1,-4.7,-5.0,-2.5,-7.2
29,New Orleans,-7.1,-5.3,-7.0,-6.0,-8.5
30,Philadelphia,-7.5,-5.3,-12.0,-7.6,-7.3
