Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,23.6,28.0,12.0,23.4,23.8
2,Denver,18.4,14.3,17.0,21.0,16.0
3,New York,17.8,20.0,31.0,22.2,12.8
4,Phoenix,17.6,13.3,25.0,21.0,13.0
5,Houston,17.4,12.0,8.0,16.6,18.0
6,Minnesota,17.1,9.3,5.0,19.9,14.8
7,Boston,16.8,13.0,7.0,18.1,15.3
8,Miami,16.5,13.7,12.0,16.5,16.4
9,Toronto,15.7,13.0,13.0,16.2,15.3
10,Cleveland,15.7,16.7,8.0,14.2,17.8
11,San Antonio,15.4,14.7,14.0,16.8,13.3
12,Detroit,15.3,19.3,10.0,15.3,15.3
13,Orlando,15.2,22.0,46.0,14.0,16.4
14,LA Lakers,14.2,18.0,18.0,13.6,14.7
15,Golden State,13.8,17.0,14.0,20.6,9.3
16,Atlanta,13.7,11.3,0.0,11.4,15.0
17,Portland,12.0,14.7,7.0,9.4,13.9
18,Memphis,11.9,7.0,9.0,16.6,6.7
19,Chicago,11.8,5.7,5.0,12.5,11.2
20,Utah,11.6,12.0,11.0,15.7,7.0
21,LA Clippers,10.6,12.0,4.0,14.0,7.8
22,Charlotte,10.2,7.3,6.0,12.0,8.4
23,Philadelphia,10.1,6.7,7.0,8.0,13.0
24,Washington,9.9,17.0,33.0,12.6,8.0
25,Milwaukee,9.2,2.7,6.0,10.2,7.9
26,Brooklyn,8.4,7.7,5.0,7.4,9.2
27,New Orleans,7.8,15.3,17.0,8.3,7.1
28,Dallas,7.5,5.0,5.0,8.0,6.5
29,Indiana,7.2,5.0,11.0,9.0,5.7
30,Sacramento,6.0,5.0,0.0,4.6,7.3
