Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,16.5,22.3,8.0,17.7,15.4
2,Houston,10.7,7.7,4.0,11.4,10.1
3,Denver,10.0,2.7,10.0,13.3,7.1
4,Toronto,6.7,7.7,2.0,8.0,5.5
5,New York,6.5,9.7,28.0,12.2,0.1
6,San Antonio,6.5,4.3,13.0,7.9,4.4
7,Detroit,6.4,5.0,-3.0,6.5,6.4
8,Miami,5.8,5.7,3.0,6.9,4.6
9,Orlando,5.3,14.7,41.0,5.5,5.1
10,Minnesota,4.7,-4.7,-8.0,8.5,1.6
11,Boston,4.6,1.3,3.0,6.2,2.5
12,Phoenix,4.2,-0.3,12.0,8.5,-1.9
13,Cleveland,4.0,5.0,-11.0,3.8,4.3
14,LA Lakers,3.5,11.0,17.0,5.3,2.2
15,Atlanta,1.8,0.3,-19.0,-2.7,4.4
16,Golden State,0.6,3.0,-4.0,11.1,-6.4
17,Philadelphia,-1.0,-14.0,-41.0,-3.4,2.4
18,Portland,-2.6,-9.3,-13.0,-2.4,-2.8
19,Milwaukee,-2.8,-9.3,-3.0,-0.5,-6.1
20,Chicago,-2.9,-16.0,-13.0,-0.6,-5.0
21,Memphis,-4.2,0.3,5.0,0.2,-9.0
22,Charlotte,-5.6,-15.3,-28.0,-5.1,-6.0
23,Dallas,-5.9,-2.3,-4.0,-4.4,-9.3
24,LA Clippers,-6.1,-5.7,-17.0,-1.5,-9.7
25,Utah,-7.5,-17.0,-17.0,-0.1,-15.8
26,Brooklyn,-10.5,-5.0,-13.0,-13.4,-7.9
27,New Orleans,-11.0,-3.0,-5.0,-9.5,-13.0
28,Sacramento,-11.4,-0.7,-12.0,-12.6,-10.4
29,Indiana,-11.8,-6.0,-2.0,-5.8,-16.6
30,Washington,-14.1,-4.0,19.0,-15.0,-13.5
