Rank,Team,2026,Last 3,Last 1,Home,Away
1,Chicago,35.9,32.3,29.0,35.5,36.3
2,Miami,35.9,39.0,38.0,36.3,35.4
3,Okla City,35.4,31.3,34.0,33.4,37.2
4,Dallas,35.0,33.7,35.0,35.4,34.2
5,Denver,34.6,28.7,32.0,36.0,33.3
6,San Antonio,34.5,35.3,37.0,34.4,34.7
7,Memphis,33.9,35.0,38.0,33.6,34.2
8,Utah,33.0,31.7,33.0,33.7,32.3
9,Detroit,32.9,32.3,35.0,33.6,32.4
10,Orlando,32.8,27.7,32.0,34.6,30.9
11,Minnesota,32.8,31.7,32.0,33.9,32.0
12,Washington,32.7,30.7,30.0,31.3,33.7
13,Houston,32.6,26.7,28.0,31.9,33.1
14,Toronto,32.5,34.3,36.0,32.9,32.1
15,Charlotte,32.4,29.0,26.0,31.4,33.3
16,New York,32.2,31.3,33.0,32.6,31.9
17,Indiana,32.2,32.7,40.0,34.1,30.7
18,Philadelphia,32.1,34.3,30.0,31.6,32.7
19,Golden State,31.8,30.3,34.0,32.3,31.4
20,Cleveland,31.7,34.7,33.0,31.5,31.9
20,Milwaukee,31.7,32.0,36.0,31.6,31.8
22,LA Lakers,31.6,32.0,26.0,29.7,32.9
23,Atlanta,31.5,29.7,30.0,28.7,33.1
24,Boston,31.4,30.7,32.0,30.4,32.6
25,Sacramento,30.8,32.7,32.0,30.8,30.9
26,LA Clippers,30.7,26.7,22.0,30.5,30.9
27,Phoenix,30.4,29.3,30.0,31.7,28.5
28,Portland,30.3,33.7,36.0,31.3,29.6
29,New Orleans,28.9,33.7,30.0,28.2,29.9
30,Brooklyn,28.2,31.7,31.0,27.8,28.6
