Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,57.9%,59.7%,62.6%,56.4%,59.3%
2,LA Lakers,57.7%,60.3%,64.9%,59.6%,56.3%
3,Milwaukee,57.6%,54.5%,49.5%,60.3%,54.0%
4,Atlanta,56.4%,54.9%,53.2%,53.1%,58.3%
5,San Antonio,56.3%,52.0%,46.0%,58.6%,53.2%
6,Okla City,56.3%,62.9%,51.2%,56.1%,56.5%
7,Toronto,56.3%,50.4%,41.7%,56.2%,56.4%
8,Minnesota,56.1%,50.6%,51.9%,55.3%,56.7%
9,Chicago,55.6%,52.9%,64.6%,54.9%,56.3%
10,New York,55.5%,61.6%,64.2%,56.1%,54.8%
11,Phoenix,55.3%,51.7%,53.8%,57.0%,53.2%
12,LA Clippers,55.2%,57.8%,59.9%,59.1%,52.2%
13,Miami,55.0%,51.3%,51.8%,53.9%,56.2%
14,Houston,54.8%,50.7%,44.9%,54.3%,55.2%
15,Detroit,54.7%,57.3%,45.7%,53.1%,56.2%
16,Orlando,54.7%,59.1%,59.9%,53.7%,55.7%
17,Cleveland,54.6%,55.5%,49.4%,55.4%,53.5%
18,Golden State,54.5%,55.8%,50.0%,57.1%,52.8%
19,Boston,54.2%,58.9%,55.2%,55.2%,53.0%
20,Washington,54.2%,58.1%,68.5%,52.9%,55.2%
21,Philadelphia,53.8%,51.8%,50.6%,53.9%,53.8%
22,Charlotte,53.4%,52.3%,48.8%,54.4%,52.5%
23,Sacramento,53.0%,52.7%,53.5%,51.9%,54.1%
24,Utah,52.5%,53.3%,53.0%,55.5%,49.1%
25,Brooklyn,52.1%,53.5%,46.0%,50.5%,53.5%
26,Portland,51.8%,49.0%,47.7%,50.7%,52.6%
27,New Orleans,51.4%,54.7%,58.9%,51.7%,50.9%
28,Memphis,51.1%,54.1%,62.4%,52.1%,50.0%
29,Dallas,50.5%,48.9%,45.4%,51.1%,49.2%
30,Indiana,48.0%,51.8%,51.9%,50.7%,45.7%
