Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,1.019,1.045,1.158,1.042,1.001
2,Boston,1.018,1.007,0.99,1.04,0.99
3,New York,1.004,0.953,0.933,1.017,0.989
4,Portland,0.988,0.964,0.943,0.972,1.0
5,Detroit,0.987,0.974,1.079,0.993,0.981
6,Indiana,0.985,0.917,0.856,0.977,0.992
7,New Orleans,0.983,0.984,0.954,0.984,0.981
8,Denver,0.979,0.98,1.0,0.996,0.964
9,Memphis,0.979,1.016,0.954,0.978,0.981
10,Cleveland,0.977,0.954,0.922,0.964,0.994
11,Orlando,0.974,1.032,1.028,0.952,0.999
12,Philadelphia,0.974,0.951,0.88,0.97,0.979
13,Okla City,0.972,0.948,0.971,0.971,0.973
14,Phoenix,0.97,0.99,1.0,0.954,0.992
15,Utah,0.967,0.938,1.0,0.976,0.957
16,Miami,0.966,1.0,0.951,0.963,0.969
17,Charlotte,0.966,0.95,0.923,0.949,0.981
18,Brooklyn,0.965,0.956,1.031,0.968,0.962
19,San Antonio,0.964,1.016,1.105,0.948,0.985
20,Minnesota,0.962,0.959,0.961,0.964,0.961
21,Toronto,0.962,0.967,0.99,0.964,0.96
22,Chicago,0.959,0.952,0.885,0.974,0.946
23,Atlanta,0.953,0.997,0.953,0.954,0.952
24,Golden State,0.949,0.993,0.968,0.978,0.93
25,Sacramento,0.948,0.974,0.91,0.941,0.954
26,LA Clippers,0.943,0.96,0.91,0.931,0.952
27,Washington,0.943,0.943,0.934,0.945,0.941
28,Milwaukee,0.941,0.937,0.971,0.935,0.95
29,Dallas,0.94,0.971,0.991,0.935,0.951
30,LA Lakers,0.938,0.956,1.01,0.948,0.931
