Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,0.352,0.287,0.277,0.362,0.342
2,LA Lakers,0.349,0.362,0.299,0.373,0.331
3,Detroit,0.317,0.38,0.387,0.295,0.336
4,Dallas,0.314,0.221,0.165,0.334,0.272
5,Minnesota,0.311,0.35,0.463,0.334,0.293
6,Indiana,0.31,0.335,0.295,0.321,0.302
7,Brooklyn,0.31,0.328,0.322,0.304,0.316
8,Utah,0.297,0.221,0.182,0.318,0.272
9,San Antonio,0.297,0.331,0.248,0.275,0.327
10,Portland,0.295,0.326,0.345,0.318,0.278
11,Denver,0.294,0.247,0.154,0.277,0.311
12,Toronto,0.293,0.28,0.3,0.292,0.294
13,Houston,0.289,0.218,0.242,0.301,0.28
14,Philadelphia,0.285,0.242,0.268,0.293,0.275
15,Cleveland,0.282,0.228,0.149,0.282,0.281
16,LA Clippers,0.281,0.295,0.296,0.259,0.297
17,Golden State,0.28,0.257,0.256,0.261,0.292
18,Okla City,0.28,0.345,0.469,0.283,0.277
19,Charlotte,0.279,0.273,0.282,0.264,0.293
20,Miami,0.278,0.267,0.235,0.255,0.305
21,New Orleans,0.275,0.239,0.099,0.257,0.299
22,Chicago,0.274,0.331,0.39,0.285,0.263
23,Memphis,0.269,0.188,0.144,0.296,0.24
24,Sacramento,0.259,0.223,0.116,0.236,0.281
25,Atlanta,0.254,0.185,0.168,0.269,0.246
26,New York,0.253,0.235,0.205,0.249,0.257
27,Phoenix,0.245,0.205,0.22,0.255,0.233
28,Washington,0.239,0.263,0.31,0.241,0.238
29,Milwaukee,0.228,0.166,0.147,0.226,0.23
30,Boston,0.206,0.226,0.276,0.201,0.211
