Rank,Team,2026,Last 3,Last 1,Home,Away
1,Toronto,20.2,14.7,9.0,17.7,22.5
2,Orlando,19.3,18.0,25.0,18.9,19.8
3,Miami,18.8,19.7,16.0,19.8,17.8
4,Chicago,17.8,13.0,21.0,14.1,21.0
5,Dallas,17.6,15.7,18.0,16.8,19.5
6,Washington,17.6,20.3,28.0,21.0,15.2
7,Atlanta,17.5,16.7,18.0,14.1,19.4
8,Detroit,16.9,13.7,11.0,15.6,17.9
9,Philadelphia,16.9,16.3,15.0,16.3,17.7
10,San Antonio,16.5,12.7,12.0,16.0,17.1
11,Denver,15.6,11.7,10.0,15.6,15.7
12,Cleveland,15.6,16.0,21.0,14.5,17.1
13,Utah,15.3,16.7,21.0,15.8,14.8
14,New Orleans,14.9,13.7,16.0,14.6,15.4
15,New York,14.8,14.0,20.0,16.2,13.3
16,Houston,14.8,16.0,13.0,15.4,14.2
17,Portland,14.7,9.3,9.0,14.9,14.6
18,Sacramento,14.7,17.3,8.0,13.9,15.4
19,Milwaukee,14.2,12.3,11.0,16.4,11.3
20,LA Lakers,14.2,21.7,24.0,14.0,14.3
21,Minnesota,14.1,9.7,8.0,13.3,14.8
22,Memphis,14.1,9.3,9.0,16.9,11.0
23,Phoenix,13.9,9.7,14.0,11.5,17.1
24,Indiana,13.8,11.0,11.0,14.8,13.1
25,Okla City,13.7,13.3,14.0,13.1,14.2
26,Golden State,13.5,10.3,6.0,13.5,13.5
27,Boston,13.4,15.3,12.0,15.1,11.4
28,LA Clippers,11.3,9.0,8.0,11.1,11.4
29,Charlotte,11.2,6.0,5.0,10.1,12.2
30,Brooklyn,10.1,11.3,11.0,11.8,8.7
