Rank,Team,2026,Last 3,Last 1,Home,Away
1,Portland,93.3,86.0,87.0,92.3,94.0
2,Miami,93.2,92.3,85.0,94.2,92.1
3,Boston,92.2,88.3,87.0,94.0,89.9
4,New York,92.1,85.0,88.0,93.6,90.4
5,Houston,91.6,93.3,99.0,93.1,90.4
6,Indiana,91.4,82.7,78.0,92.0,91.0
7,Memphis,91.3,94.0,97.0,90.9,91.8
8,Utah,91.2,90.7,99.0,93.6,88.6
9,Chicago,91.2,90.7,82.0,90.8,91.6
10,Cleveland,91.1,87.7,87.0,88.2,95.1
11,Washington,90.2,88.7,84.0,92.0,89.0
12,New Orleans,90.1,96.3,101.0,91.5,88.1
13,Philadelphia,89.9,92.3,82.0,87.7,93.1
14,Detroit,89.7,85.0,93.0,93.5,86.6
15,Okla City,89.6,83.0,81.0,89.2,90.0
15,Phoenix,89.6,89.3,91.0,87.4,92.8
17,Charlotte,88.8,85.3,85.0,85.6,92.0
18,Sacramento,88.5,91.3,86.0,89.9,87.3
19,Denver,88.3,86.3,91.0,92.0,85.0
20,Atlanta,88.3,92.0,95.0,87.7,88.6
21,Milwaukee,88.1,88.3,95.0,87.6,88.8
22,Toronto,88.0,88.0,90.0,87.2,88.7
23,Dallas,87.9,90.7,97.0,87.8,88.3
24,Minnesota,87.5,87.7,80.0,88.0,87.1
25,Golden State,87.1,89.7,82.0,88.5,86.1
26,Orlando,86.8,95.3,101.0,84.5,89.4
27,San Antonio,86.6,89.7,101.0,85.2,88.7
28,Brooklyn,85.1,81.3,87.0,86.6,83.8
29,LA Clippers,83.8,83.7,81.0,82.0,85.2
30,LA Lakers,82.7,85.7,87.0,83.9,81.9
