Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,44.7,43.7,46.0,45.8,43.8
2,Miami,44.7,43.0,39.0,44.6,44.8
3,Houston,43.9,41.0,39.0,44.1,43.7
4,Toronto,43.6,39.3,35.0,42.7,44.5
4,Okla City,43.6,44.7,38.0,43.2,44.0
6,Detroit,43.4,42.7,37.0,43.6,43.3
7,New York,43.4,46.0,50.0,43.8,43.0
8,Chicago,43.3,40.7,43.0,42.9,43.7
9,Milwaukee,43.1,40.3,40.0,44.8,40.8
10,Atlanta,43.0,43.3,43.0,40.1,44.7
11,Boston,42.3,44.3,38.0,44.1,40.1
12,San Antonio,42.3,40.3,41.0,42.6,41.9
13,LA Lakers,42.2,46.0,50.0,44.6,40.6
14,Minnesota,42.2,37.3,33.0,42.4,42.0
15,Phoenix,42.1,39.3,42.0,42.4,41.6
16,Washington,42.0,43.7,48.0,42.0,42.0
17,Cleveland,41.9,41.3,36.0,41.5,42.5
18,Orlando,41.6,49.3,54.0,39.9,43.6
19,Philadelphia,41.6,41.0,37.0,40.8,42.7
20,Portland,41.5,35.7,37.0,40.6,42.2
21,Sacramento,41.4,43.3,40.0,40.3,42.3
22,Utah,41.1,41.7,47.0,43.8,38.1
23,New Orleans,40.5,46.0,50.0,41.5,39.0
24,Charlotte,40.4,38.3,35.0,39.4,41.3
25,Memphis,40.1,44.0,52.0,40.2,39.9
26,LA Clippers,39.6,41.7,42.0,41.3,38.3
27,Golden State,39.5,42.0,35.0,42.3,37.6
28,Dallas,38.8,37.7,38.0,39.0,38.3
29,Indiana,38.1,37.0,35.0,40.4,36.2
30,Brooklyn,37.5,37.0,33.0,37.0,37.9
