Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,55.1%,53.7%,52.9%,55.3%,54.9%
2,Houston,54.9%,51.5%,51.3%,56.0%,54.0%
3,LA Lakers,53.7%,56.9%,62.1%,56.3%,51.8%
4,Detroit,53.6%,55.7%,53.1%,52.4%,54.6%
5,Orlando,53.4%,60.2%,61.7%,52.1%,54.9%
6,Toronto,53.2%,49.6%,45.6%,52.7%,53.6%
7,Okla City,52.8%,56.0%,54.3%,52.8%,52.8%
8,New York,52.4%,55.0%,56.2%,53.1%,51.7%
9,San Antonio,52.4%,52.5%,50.4%,52.2%,52.6%
10,Minnesota,51.9%,47.3%,46.8%,52.7%,51.3%
11,Miami,51.6%,51.4%,47.4%,50.5%,52.7%
12,Boston,51.1%,54.0%,48.9%,52.8%,48.8%
13,Atlanta,51.0%,50.3%,47.5%,49.3%,52.0%
14,Philadelphia,50.8%,47.2%,43.7%,50.9%,50.6%
15,Chicago,50.7%,48.7%,50.7%,51.6%,50.0%
16,Portland,50.6%,47.1%,47.2%,50.0%,51.1%
17,Cleveland,50.6%,49.6%,41.0%,50.8%,50.3%
18,Phoenix,50.4%,47.6%,50.6%,51.0%,49.6%
19,Charlotte,50.1%,48.7%,43.9%,49.6%,50.6%
20,LA Clippers,50.0%,53.5%,53.3%,51.2%,49.1%
21,Utah,50.0%,47.4%,51.0%,52.2%,47.2%
22,New Orleans,49.9%,52.7%,49.9%,50.2%,49.4%
23,Milwaukee,49.8%,46.4%,44.9%,51.5%,47.5%
24,Sacramento,49.2%,50.8%,44.5%,47.1%,51.2%
25,Memphis,49.1%,51.5%,53.3%,50.1%,48.1%
26,Brooklyn,49.0%,50.2%,47.4%,48.4%,49.6%
27,Golden State,48.7%,51.7%,47.0%,51.7%,46.7%
28,Washington,48.4%,51.1%,55.8%,47.9%,48.7%
29,Indiana,47.7%,47.6%,42.6%,49.4%,46.3%
30,Dallas,47.6%,45.5%,43.1%,48.1%,46.3%
