Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,84.5%,76.7%,78.9%,83.7%,85.1%
2,LA Clippers,83.7%,86.5%,87.5%,82.4%,84.6%
3,Denver,83.3%,79.7%,78.6%,84.8%,81.9%
4,Golden State,82.5%,82.6%,85.7%,78.9%,84.8%
5,Charlotte,82.5%,84.3%,75.0%,84.2%,81.1%
6,Utah,81.8%,75.0%,66.7%,82.8%,80.3%
7,Memphis,81.6%,84.9%,85.7%,81.8%,81.3%
8,Orlando,80.7%,82.9%,82.1%,83.3%,77.8%
9,Philadelphia,80.3%,83.6%,90.9%,80.2%,80.4%
10,New York,80.1%,81.7%,88.9%,84.8%,74.7%
11,Phoenix,79.9%,69.1%,70.0%,78.8%,81.5%
12,Chicago,79.7%,77.8%,75.0%,79.7%,79.7%
13,San Antonio,79.6%,80.9%,88.0%,82.1%,76.8%
14,Portland,79.3%,70.2%,63.3%,77.4%,80.8%
15,LA Lakers,79.2%,78.5%,84.6%,76.7%,81.2%
16,Miami,78.9%,74.3%,90.0%,82.5%,75.5%
17,Houston,78.3%,70.5%,62.5%,77.0%,79.4%
18,Atlanta,78.2%,74.5%,75.0%,83.0%,75.1%
19,Boston,78.0%,80.0%,87.5%,82.0%,73.0%
20,Brooklyn,78.0%,76.3%,71.4%,78.2%,77.7%
21,Toronto,77.8%,81.1%,81.5%,76.9%,78.5%
22,Sacramento,77.3%,91.8%,80.0%,78.0%,76.7%
23,Indiana,77.1%,77.1%,60.9%,77.5%,76.7%
24,New Orleans,76.4%,76.8%,90.0%,78.4%,73.9%
25,Minnesota,75.9%,69.6%,59.5%,75.3%,76.5%
26,Cleveland,75.4%,78.3%,100.0%,74.5%,76.6%
27,Dallas,75.0%,83.3%,87.5%,76.4%,71.5%
28,Washington,74.9%,75.7%,65.4%,76.1%,74.1%
29,Detroit,74.4%,75.3%,80.6%,77.4%,72.2%
30,Milwaukee,70.9%,75.0%,64.3%,73.4%,67.5%
