Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,30.6,27.3,28.0,30.6,30.6
2,LA Lakers,28.8,31.0,26.0,31.3,27.1
3,Detroit,28.4,32.3,36.0,27.6,29.1
4,Indiana,28.4,27.7,23.0,29.5,27.5
5,Dallas,27.6,20.0,16.0,29.3,24.0
6,Portland,27.5,28.0,30.0,29.4,26.1
7,Minnesota,27.2,30.7,37.0,29.4,25.5
8,Utah,27.1,20.0,18.0,29.8,24.1
9,Houston,26.5,20.3,24.0,28.0,25.3
10,Brooklyn,26.4,26.7,28.0,26.4,26.4
11,Denver,26.0,21.3,14.0,25.5,26.4
12,Miami,25.9,24.7,20.0,24.0,28.1
13,Toronto,25.8,24.7,27.0,25.4,26.1
14,San Antonio,25.7,29.7,25.0,23.4,29.0
15,Cleveland,25.7,20.0,13.0,24.9,26.8
16,Philadelphia,25.6,22.3,22.0,25.7,25.6
17,Okla City,25.1,28.7,38.0,25.2,24.9
18,Chicago,24.9,30.0,32.0,25.9,24.1
19,Charlotte,24.8,23.3,24.0,22.6,27.0
20,New Orleans,24.7,23.0,10.0,23.5,26.4
21,Memphis,24.6,17.7,14.0,26.9,22.0
22,Golden State,24.4,23.0,21.0,23.1,25.2
23,LA Clippers,23.5,24.7,24.0,21.3,25.3
24,New York,23.3,20.0,18.0,23.3,23.3
25,Sacramento,22.9,20.3,10.0,21.2,24.5
26,Atlanta,22.4,17.0,16.0,23.6,21.8
27,Phoenix,22.0,18.3,20.0,22.3,21.6
28,Washington,21.6,23.3,26.0,22.1,21.2
29,Milwaukee,20.1,14.7,14.0,19.8,20.4
30,Boston,18.9,20.0,24.0,18.9,19.0
