Rank,Team,2026,Last 3,Last 1,Home,Away
1,Golden State,20,3,1,8,12
2,Cleveland,19,3,1,11,8
2,Phoenix,19,3,1,11,8
2,Toronto,19,3,1,9,10
2,New Orleans,19,3,1,11,8
2,Memphis,19,3,1,10,9
2,Sacramento,19,3,1,9,10
2,Portland,19,3,1,8,11
2,Atlanta,19,3,1,7,12
2,Miami,19,3,1,10,9
2,Dallas,19,3,1,13,6
2,Okla City,19,3,1,9,10
2,Milwaukee,19,3,1,11,8
2,Orlando,19,3,1,10,9
15,Charlotte,18,3,1,9,9
15,Indiana,18,3,1,8,10
15,Boston,18,3,1,10,8
15,Minnesota,18,3,1,8,10
15,Detroit,18,3,1,8,10
15,LA Clippers,18,3,1,8,10
21,New York,17,3,1,9,8
21,Brooklyn,17,3,1,8,9
21,San Antonio,17,3,1,10,7
21,Philadelphia,17,3,1,10,7
21,LA Lakers,17,3,1,7,10
21,Chicago,17,3,1,8,9
21,Washington,17,3,1,7,10
21,Utah,17,3,1,9,8
21,Denver,17,3,1,8,9
30,Houston,16,3,1,7,9
