Rank,Team,2026,Last 3,Last 1,Home,Away
1,LA Lakers,67.0%,68.4%,66.1%,70.0%,64.7%
2,Denver,63.7%,59.6%,54.5%,63.5%,64.0%
3,Toronto,63.3%,57.1%,52.6%,60.0%,66.3%
4,San Antonio,63.1%,58.9%,50.8%,63.8%,62.3%
5,Okla City,62.9%,64.5%,62.0%,65.7%,60.6%
6,Cleveland,62.1%,63.5%,57.9%,64.6%,58.9%
7,Portland,61.8%,60.2%,62.2%,60.8%,62.6%
8,Atlanta,61.8%,62.1%,63.6%,57.4%,64.3%
9,Orlando,61.4%,64.2%,65.1%,59.6%,63.3%
10,Chicago,61.3%,65.5%,85.2%,61.4%,61.3%
11,Utah,61.3%,58.6%,62.1%,62.8%,59.7%
12,Boston,61.1%,63.0%,48.6%,63.3%,58.1%
13,LA Clippers,60.9%,62.0%,69.0%,64.3%,58.4%
14,Detroit,60.8%,63.0%,52.0%,58.7%,62.5%
15,Miami,60.6%,61.7%,60.4%,59.6%,61.8%
16,Minnesota,60.6%,50.4%,40.0%,62.1%,59.3%
17,New York,60.5%,65.8%,61.7%,58.0%,63.2%
18,Milwaukee,60.3%,60.7%,56.5%,62.3%,57.5%
19,Golden State,59.8%,66.7%,63.9%,65.1%,56.3%
20,Charlotte,59.8%,63.1%,57.9%,59.1%,60.4%
21,Phoenix,59.6%,55.8%,63.6%,60.8%,58.0%
22,Brooklyn,59.6%,61.0%,57.6%,58.6%,60.5%
23,Washington,58.7%,61.8%,72.5%,59.3%,58.3%
24,Memphis,58.2%,62.3%,68.6%,59.1%,57.3%
25,Dallas,58.1%,53.3%,52.0%,57.7%,58.9%
26,New Orleans,57.8%,59.8%,64.6%,58.2%,57.2%
27,Sacramento,57.6%,58.7%,59.6%,53.4%,61.2%
28,Philadelphia,57.4%,54.7%,52.8%,57.1%,58.0%
29,Houston,56.1%,53.8%,50.9%,55.7%,56.4%
30,Indiana,53.1%,58.0%,58.5%,55.2%,51.3%
