Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,16.8,18.3,25.0,16.9,16.7
2,Portland,15.4,13.3,12.0,14.0,16.4
3,Utah,13.6,12.0,14.0,14.9,12.1
4,New York,13.5,8.7,8.0,14.7,12.3
5,New Orleans,13.5,14.0,10.0,13.9,12.9
6,Detroit,13.4,12.0,21.0,15.9,11.5
7,Phoenix,13.2,13.7,17.0,11.7,15.3
8,Boston,12.9,11.0,12.0,13.5,12.3
9,Indiana,12.8,6.0,3.0,11.5,13.9
10,Charlotte,12.4,9.7,9.0,11.2,13.6
11,Philadelphia,12.2,11.3,8.0,11.7,13.0
12,Orlando,12.0,14.7,15.0,11.0,13.1
13,Cleveland,11.8,8.7,4.0,10.8,13.3
13,Memphis,11.8,15.0,11.0,11.2,12.6
15,San Antonio,11.6,14.7,20.0,9.9,14.0
16,Denver,11.5,12.0,14.0,12.4,10.8
17,Minnesota,11.4,13.7,12.0,12.0,10.9
18,Brooklyn,11.2,10.0,13.0,12.0,10.4
19,Golden State,11.1,12.7,13.0,10.5,11.5
20,Miami,10.5,13.7,9.0,10.0,11.1
21,Dallas,10.5,12.3,15.0,10.2,11.0
22,Washington,10.5,9.3,6.0,9.7,11.0
23,Chicago,10.4,9.7,4.0,11.3,9.7
24,LA Clippers,9.9,10.0,7.0,9.4,10.4
25,Toronto,9.9,9.3,12.0,9.8,10.0
25,Atlanta,9.9,11.3,14.0,10.9,9.3
27,Okla City,9.8,7.0,6.0,9.6,10.0
28,LA Lakers,9.6,9.3,12.0,9.9,9.4
29,Sacramento,8.9,10.0,10.0,9.4,8.5
30,Milwaukee,8.3,8.3,11.0,7.4,9.6
