Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,51.4,53.0,66.0,52.8,50.1
2,Boston,54.1,59.7,56.0,58.0,49.1
3,Houston,54.3,49.7,41.0,53.6,54.8
4,LA Lakers,54.9,52.7,52.0,56.7,53.7
5,Cleveland,55.0,53.3,53.0,53.9,56.5
6,Orlando,55.4,52.0,43.0,54.6,56.2
7,Detroit,55.8,62.0,60.0,56.5,55.3
8,Denver,55.9,62.7,61.0,56.6,55.2
9,Dallas,56.2,55.0,54.0,57.2,54.0
10,San Antonio,56.2,58.7,48.0,58.5,53.0
11,Phoenix,56.3,52.0,55.0,56.2,56.4
12,Miami,56.5,54.7,56.0,58.1,54.8
13,Brooklyn,56.5,56.0,62.0,59.5,53.9
14,Philadelphia,56.6,54.3,58.0,57.5,55.4
15,Milwaukee,56.9,54.3,53.0,57.2,56.6
16,Toronto,57.0,47.3,46.0,55.9,58.0
17,New York,57.6,58.3,54.0,55.6,59.9
18,Golden State,57.7,60.3,57.0,52.3,61.3
19,Atlanta,57.9,54.0,55.0,59.4,57.1
20,Minnesota,58.1,57.0,64.0,57.3,58.7
21,Memphis,58.2,55.3,54.0,57.6,58.8
22,Charlotte,58.4,62.0,57.0,58.0,58.9
23,LA Clippers,58.9,62.0,66.0,57.0,60.5
24,Portland,59.2,54.7,59.0,60.1,58.5
25,Sacramento,59.3,50.0,45.0,59.2,59.3
26,Chicago,60.9,64.0,69.0,58.1,63.4
27,Indiana,60.9,52.0,47.0,59.5,62.1
28,New Orleans,61.2,66.7,69.0,60.4,62.3
29,Utah,61.3,63.3,67.0,61.2,61.4
30,Washington,62.4,66.0,58.0,63.7,61.5
