Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,25.9,24.7,22.0,25.9,26.0
2,Toronto,26.4,25.3,24.0,26.2,26.6
3,Detroit,26.8,27.3,33.0,26.6,27.0
4,Minnesota,26.9,26.0,25.0,26.5,27.2
5,Boston,27.4,32.7,28.0,25.3,30.0
6,LA Clippers,27.7,30.3,32.0,30.0,25.8
7,Houston,27.7,27.3,34.0,27.4,27.9
8,Golden State,27.8,25.0,25.0,26.5,28.7
9,Charlotte,27.8,28.0,35.0,27.2,28.4
10,Atlanta,28.0,27.7,32.0,26.7,28.8
11,Phoenix,28.1,28.0,29.0,27.2,29.4
12,Philadelphia,28.1,40.7,51.0,27.5,29.0
13,LA Lakers,28.4,29.3,28.0,28.4,28.3
14,Orlando,28.4,36.7,25.0,26.9,30.0
15,New York,28.8,23.7,16.0,29.1,28.5
16,Dallas,28.8,27.7,32.0,27.2,32.3
17,San Antonio,29.0,24.7,24.0,28.1,30.3
18,Memphis,29.3,29.7,29.0,29.9,28.6
19,New Orleans,29.5,30.3,28.0,28.0,31.5
20,Chicago,29.5,33.3,37.0,29.0,30.0
21,Cleveland,29.7,26.7,28.0,29.4,30.3
22,Indiana,29.9,31.3,29.0,28.8,30.9
23,Portland,29.9,27.0,27.0,28.1,31.3
24,Denver,30.2,33.0,31.0,28.6,31.6
25,Sacramento,30.4,27.7,26.0,29.7,31.0
25,Miami,30.4,28.3,20.0,28.5,32.4
27,Utah,31.2,36.0,41.0,33.3,28.8
28,Milwaukee,31.5,32.0,24.0,32.4,30.4
29,Washington,31.9,27.3,32.0,32.1,31.8
30,Brooklyn,32.0,27.7,27.0,31.5,32.4
