Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,1.31,1.197,1.563,1.182,1.436
2,Detroit,1.365,1.744,1.846,1.236,1.473
3,Phoenix,1.483,1.167,1.053,1.382,1.619
4,Toronto,1.58,1.429,1.111,1.556,1.601
5,Orlando,1.602,1.837,1.048,1.612,1.591
6,Atlanta,1.621,1.638,2.308,1.605,1.631
7,Cleveland,1.635,1.689,1.75,1.655,1.609
8,LA Lakers,1.656,1.75,1.5,1.581,1.711
9,Golden State,1.659,1.933,2.4,1.675,1.65
10,Portland,1.662,2.0,1.889,1.437,1.841
11,Minnesota,1.664,1.449,2.111,1.583,1.736
12,Houston,1.702,1.231,1.563,1.717,1.69
13,New York,1.72,1.512,0.882,1.649,1.817
14,Boston,1.729,2.4,1.538,1.817,1.621
15,Dallas,1.737,1.825,1.571,1.78,1.648
16,San Antonio,1.779,1.95,1.167,1.779,1.78
17,Miami,1.813,1.8,2.214,1.75,1.889
18,Milwaukee,1.832,1.977,2.286,1.822,1.845
19,Indiana,1.833,1.591,1.385,1.75,1.904
20,New Orleans,1.836,2.375,2.375,1.777,1.924
21,Memphis,1.915,2.179,2.267,1.835,2.0
22,Sacramento,1.986,1.609,1.471,1.708,2.286
23,LA Clippers,2.016,2.25,2.636,1.912,2.109
24,Philadelphia,2.035,2.564,3.167,2.214,1.819
25,Denver,2.085,2.529,3.0,2.03,2.134
26,Brooklyn,2.149,2.733,3.5,2.34,1.984
27,Utah,2.188,2.447,3.4,2.252,2.112
28,Charlotte,2.213,2.588,1.733,2.275,2.159
29,Chicago,2.242,2.462,2.0,2.511,2.026
30,Washington,2.374,2.159,1.737,2.196,2.521
