Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,61.5%,61.3%,57.6%,62.2%,61.0%
2,Portland,67.5%,72.4%,75.5%,69.8%,65.8%
3,Detroit,69.2%,70.5%,60.4%,66.0%,72.1%
4,Phoenix,69.3%,70.3%,65.3%,70.9%,67.5%
5,Utah,70.3%,72.9%,70.8%,67.5%,73.5%
6,New York,70.3%,75.9%,76.5%,68.0%,73.0%
7,Charlotte,70.7%,75.6%,78.6%,72.0%,69.4%
8,Boston,71.2%,74.2%,74.5%,70.7%,71.8%
9,New Orleans,71.3%,70.2%,79.2%,70.3%,72.6%
10,Denver,71.6%,69.0%,67.4%,71.3%,71.9%
11,Orlando,71.8%,66.4%,66.7%,73.7%,69.7%
12,San Antonio,72.1%,69.7%,64.3%,74.6%,69.1%
13,Philadelphia,72.6%,76.6%,80.0%,73.2%,71.8%
14,Minnesota,73.5%,71.3%,73.9%,72.6%,74.4%
15,Indiana,73.9%,85.4%,92.3%,76.0%,72.2%
16,Cleveland,74.1%,79.7%,91.1%,75.2%,72.7%
17,Memphis,74.3%,67.2%,73.2%,75.7%,72.9%
18,LA Lakers,74.8%,74.5%,64.7%,73.9%,75.5%
19,Golden State,74.9%,70.8%,68.3%,75.8%,74.3%
20,Brooklyn,75.0%,75.0%,72.3%,74.1%,75.9%
21,LA Clippers,75.7%,74.1%,78.8%,75.7%,75.7%
22,Toronto,76.3%,78.6%,76.9%,77.0%,75.7%
23,Okla City,76.7%,80.7%,84.2%,77.1%,76.4%
24,Chicago,76.8%,79.7%,90.0%,74.1%,79.0%
25,Miami,76.9%,71.5%,80.0%,78.2%,75.3%
26,Atlanta,76.9%,74.4%,68.2%,75.9%,77.6%
27,Washington,77.3%,78.5%,83.3%,79.1%,76.0%
28,Dallas,77.7%,74.8%,72.2%,77.9%,77.2%
29,Sacramento,79.7%,76.4%,75.0%,79.5%,79.9%
30,Milwaukee,80.7%,80.8%,77.6%,82.2%,78.8%
