Rank,Team,2026,Last 3,Last 1,Home,Away
1,Miami,50.4%,49.0%,49.5%,48.3%,52.7%
2,Okla City,50.4%,50.8%,51.9%,50.1%,50.6%
3,Dallas,51.0%,47.3%,47.3%,50.9%,51.4%
4,Boston,51.5%,53.5%,45.7%,52.9%,49.7%
5,Denver,52.2%,54.9%,54.8%,51.0%,53.3%
6,Detroit,52.5%,57.9%,55.2%,51.9%,53.0%
7,Minnesota,52.5%,51.4%,51.2%,52.5%,52.6%
8,Toronto,52.9%,51.9%,51.9%,53.5%,52.4%
9,San Antonio,52.9%,55.5%,47.7%,53.7%,51.8%
10,Houston,53.2%,52.9%,50.0%,53.9%,52.6%
11,Cleveland,53.3%,51.4%,54.4%,53.0%,53.7%
12,Phoenix,53.5%,52.8%,53.5%,51.3%,56.5%
13,Golden State,53.7%,51.4%,44.9%,50.1%,56.3%
14,Chicago,53.8%,55.2%,57.2%,54.0%,53.6%
15,Atlanta,53.9%,56.1%,68.5%,54.0%,53.8%
16,Orlando,54.1%,60.8%,50.6%,53.5%,54.6%
17,Indiana,54.1%,50.8%,41.7%,53.6%,54.5%
18,Philadelphia,54.5%,57.0%,59.9%,54.5%,54.6%
19,Milwaukee,55.1%,60.3%,51.8%,56.4%,53.3%
20,New York,55.4%,52.5%,48.8%,55.8%,54.9%
21,Washington,55.5%,55.2%,53.2%,55.8%,55.2%
22,Portland,55.5%,52.8%,46.0%,54.5%,56.1%
23,LA Lakers,55.6%,56.0%,59.9%,56.8%,54.7%
24,Memphis,56.1%,55.7%,58.9%,55.2%,57.1%
25,LA Clippers,56.3%,60.4%,64.9%,55.7%,56.7%
26,Utah,57.3%,60.8%,58.2%,56.5%,58.2%
27,Sacramento,57.4%,52.7%,53.8%,56.9%,57.9%
28,Brooklyn,58.3%,55.3%,58.0%,59.7%,57.0%
29,Charlotte,58.5%,60.4%,64.2%,57.2%,59.7%
30,New Orleans,59.3%,61.0%,62.4%,59.2%,59.3%
