Rank,Team,2026,Last 3,Last 1,Home,Away
1,San Antonio,9.9,8.7,9.0,9.3,10.9
2,Okla City,10.6,10.7,8.0,11.6,9.8
3,Toronto,13.3,14.0,11.0,14.7,12.1
4,Detroit,13.7,11.7,12.0,15.8,12.0
5,LA Lakers,13.8,12.3,8.0,10.9,15.8
6,Denver,13.9,17.3,12.0,14.4,13.6
7,Memphis,14.2,12.0,16.0,15.0,13.2
8,New York,14.2,9.7,5.0,13.1,15.5
9,Houston,14.3,9.0,6.0,14.7,13.9
10,Boston,14.4,13.3,11.0,13.3,15.9
11,Atlanta,14.6,12.0,28.0,15.6,14.0
11,Miami,14.6,14.7,11.0,14.2,15.0
13,Minnesota,14.8,17.7,14.0,15.9,13.9
14,Phoenix,15.1,11.0,8.0,14.0,16.6
14,Milwaukee,15.1,12.3,16.0,13.6,17.1
16,Cleveland,15.3,14.0,22.0,14.3,16.8
17,Sacramento,15.5,12.3,14.0,18.6,12.8
18,Golden State,15.6,14.3,13.0,13.9,16.7
19,Utah,16.1,18.3,14.0,18.3,13.5
20,Indiana,16.2,12.3,9.0,18.8,14.1
21,Brooklyn,16.3,10.3,10.0,15.1,17.3
21,Chicago,16.3,15.7,17.0,17.5,15.2
23,Portland,16.6,12.3,12.0,18.8,15.0
24,Charlotte,16.6,15.7,20.0,14.0,19.2
25,Dallas,16.8,14.0,17.0,17.0,16.3
25,Orlando,16.8,17.7,15.0,15.1,18.7
27,Washington,16.8,15.7,18.0,19.3,15.1
28,New Orleans,17.3,15.0,9.0,16.5,18.4
29,LA Clippers,18.6,17.0,24.0,17.8,19.2
30,Philadelphia,20.4,20.3,25.0,20.3,20.6
