Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,36.5,35.0,33.0,35.7,37.3
2,Boston,37.3,42.3,37.0,39.0,35.3
3,Detroit,38.2,40.0,38.0,39.4,37.2
4,Toronto,39.5,35.3,35.0,39.3,39.6
5,Houston,39.8,36.0,35.0,40.7,39.0
6,San Antonio,39.8,43.0,37.0,40.0,39.6
7,New York,40.1,38.3,35.0,40.0,40.1
8,Phoenix,40.3,38.3,40.0,38.7,42.4
9,Minnesota,40.3,39.7,38.0,40.3,40.3
10,Cleveland,40.6,39.3,44.0,39.5,42.1
11,Denver,41.4,44.0,43.0,40.5,42.1
12,Atlanta,41.4,40.7,48.0,41.6,41.3
13,LA Lakers,41.4,43.3,42.0,42.1,40.9
14,Orlando,41.5,44.3,37.0,40.3,42.9
15,Golden State,41.7,42.7,39.0,40.1,42.7
16,Milwaukee,41.7,41.3,39.0,42.7,40.3
17,Miami,41.8,40.7,40.0,41.3,42.4
18,LA Clippers,42.3,45.3,50.0,40.4,43.8
19,Dallas,42.3,40.3,42.0,42.6,41.7
20,Indiana,42.9,40.0,35.0,43.0,42.8
21,Portland,43.0,41.3,41.0,42.1,43.6
22,Memphis,43.3,43.7,50.0,43.1,43.6
23,Brooklyn,43.4,42.0,45.0,44.8,42.1
24,Philadelphia,43.4,49.0,54.0,43.0,44.0
25,New Orleans,44.1,45.7,52.0,44.6,43.3
26,Utah,44.8,46.7,51.0,44.7,44.9
27,Sacramento,44.9,42.3,42.0,43.7,46.0
28,Charlotte,45.1,47.0,50.0,43.7,46.4
29,Chicago,45.2,48.0,53.0,44.4,45.9
30,Washington,45.6,44.3,43.0,45.4,45.8
