Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,45.3%,45.5%,46.8%,45.5%,45.0%
2,Miami,48.2%,45.8%,44.9%,46.8%,49.9%
3,San Antonio,48.5%,49.8%,47.2%,47.8%,49.6%
4,Detroit,49.0%,49.4%,48.9%,49.4%,48.6%
5,Houston,49.2%,47.6%,47.0%,50.4%,48.3%
6,New York,49.5%,50.6%,43.9%,48.4%,50.8%
7,Cleveland,49.7%,49.3%,50.2%,50.4%,48.9%
8,Toronto,49.8%,44.6%,42.6%,49.1%,50.3%
9,Phoenix,50.0%,48.1%,44.5%,49.0%,51.3%
10,Golden State,50.2%,52.7%,51.3%,48.3%,51.4%
11,LA Lakers,50.3%,49.8%,53.3%,52.0%,49.1%
12,Boston,50.3%,55.0%,53.1%,51.6%,48.7%
13,Minnesota,50.4%,50.8%,54.3%,49.0%,51.4%
14,Memphis,50.4%,49.2%,49.9%,50.7%,50.1%
15,Atlanta,50.5%,50.6%,55.8%,51.1%,50.0%
16,Dallas,50.5%,50.7%,49.7%,50.2%,51.0%
17,Denver,50.7%,53.3%,50.6%,49.4%,51.9%
18,Orlando,50.8%,53.8%,43.7%,49.3%,52.5%
19,Philadelphia,51.6%,54.7%,61.7%,53.0%,49.6%
20,Portland,52.0%,50.7%,50.4%,50.0%,53.4%
21,Milwaukee,52.3%,52.3%,47.4%,52.6%,51.8%
22,Utah,52.4%,53.5%,55.0%,51.8%,53.1%
23,LA Clippers,52.5%,56.6%,62.1%,52.0%,52.9%
24,Charlotte,52.7%,55.4%,56.2%,52.7%,52.8%
25,New Orleans,53.1%,51.8%,53.3%,52.8%,53.4%
26,Chicago,53.2%,56.4%,60.2%,53.1%,53.3%
27,Sacramento,53.4%,50.1%,50.6%,52.2%,54.5%
28,Indiana,53.5%,51.7%,45.6%,52.5%,54.3%
29,Brooklyn,54.1%,52.0%,53.8%,55.4%,53.0%
30,Washington,54.9%,54.0%,47.5%,54.4%,55.2%
