Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,52.4%,52.6%,40.0%,55.8%,49.5%
2,San Antonio,55.0%,58.9%,62.2%,55.5%,54.4%
3,Boston,56.0%,57.2%,52.0%,56.5%,55.3%
4,Minnesota,57.4%,55.8%,62.0%,56.8%,57.9%
5,Detroit,57.4%,56.3%,48.6%,59.2%,55.7%
6,Miami,57.5%,54.3%,56.5%,56.6%,58.4%
7,Cleveland,58.6%,62.2%,68.0%,58.0%,59.5%
8,Houston,59.0%,60.0%,63.9%,59.1%,58.9%
9,Chicago,59.1%,59.4%,60.6%,61.1%,57.3%
10,Dallas,59.1%,59.8%,59.7%,59.1%,59.2%
11,Orlando,59.3%,66.7%,52.8%,60.2%,58.5%
12,Denver,59.6%,60.9%,62.8%,58.5%,60.7%
13,Golden State,59.8%,59.2%,50.9%,56.9%,61.8%
14,New York,59.9%,63.0%,57.9%,58.6%,61.4%
15,LA Clippers,60.4%,66.4%,66.1%,59.7%,61.0%
16,Phoenix,60.6%,58.4%,59.6%,57.9%,64.6%
17,Charlotte,61.1%,60.1%,61.7%,60.4%,61.9%
18,Portland,61.4%,58.6%,50.8%,57.8%,64.0%
19,Memphis,61.5%,54.9%,64.6%,61.1%,61.8%
20,LA Lakers,61.5%,65.9%,69.0%,65.3%,58.9%
21,Washington,61.6%,62.6%,63.6%,62.1%,61.3%
22,Atlanta,61.7%,63.8%,72.5%,63.7%,60.4%
23,Toronto,61.7%,59.5%,58.5%,63.9%,59.8%
24,Milwaukee,61.8%,66.7%,60.4%,61.9%,61.6%
25,Brooklyn,62.1%,59.1%,63.5%,66.5%,58.2%
26,Philadelphia,62.8%,64.1%,65.1%,62.0%,63.9%
27,Utah,63.2%,65.2%,69.6%,61.7%,64.8%
28,Indiana,63.8%,58.1%,52.6%,62.1%,65.2%
29,Sacramento,64.9%,58.1%,63.6%,63.0%,66.5%
30,New Orleans,68.3%,71.6%,68.6%,68.5%,68.0%
