Rank,Team,2026,Last 3,Last 1,Home,Away
1,New York,0.0,0.0,0.0,0.0,0.0
1,Brooklyn,0.0,0.0,0.0,0.0,0.0
1,Toronto,0.0,0.0,0.0,0.0,0.0
1,LA Lakers,0.0,0.0,0.0,0.0,0.0
1,Atlanta,0.0,0.0,0.0,0.0,0.0
1,Boston,0.0,0.0,0.0,0.0,0.0
7,Memphis,0.3,2.0,6.0,0.0,0.7
8,Detroit,0.4,0.0,0.0,1.0,0.0
9,Miami,0.5,0.0,0.0,1.0,0.0
10,San Antonio,0.5,0.0,0.0,0.0,1.3
11,Golden State,0.6,0.0,0.0,1.4,0.0
12,Sacramento,0.6,3.7,0.0,1.2,0.0
13,Cleveland,0.6,0.0,0.0,0.0,1.5
14,LA Clippers,0.7,0.0,0.0,0.0,1.3
15,Phoenix,0.7,0.0,0.0,0.0,1.8
16,Orlando,0.8,0.0,0.0,0.0,1.7
17,Minnesota,0.9,5.3,0.0,0.0,1.6
18,Philadelphia,0.9,2.7,0.0,0.0,2.3
19,Charlotte,1.0,0.0,0.0,0.0,2.0
19,Denver,1.0,0.0,0.0,0.0,1.9
21,Portland,1.1,0.0,0.0,0.0,1.8
22,Milwaukee,1.2,0.0,0.0,2.0,0.0
23,New Orleans,1.3,3.7,11.0,2.2,0.0
24,Chicago,1.4,0.0,0.0,0.0,2.6
24,Washington,1.4,0.0,0.0,1.9,1.0
26,Indiana,1.6,0.0,0.0,3.5,0.0
27,Utah,1.8,0.0,0.0,3.3,0.0
28,Dallas,1.8,0.0,0.0,2.6,0.0
29,Houston,2.0,0.0,0.0,1.6,2.3
30,Okla City,2.2,0.0,0.0,2.2,2.2
