Rank,Team,2026,Last 3,Last 1,Home,Away
1,Indiana,28.0%,23.9%,15.5%,29.2%,27.0%
2,Dallas,28.3%,18.6%,14.2%,29.1%,26.4%
3,Orlando,30.7%,30.7%,26.2%,32.2%,29.0%
4,Chicago,31.3%,31.8%,27.3%,29.2%,33.0%
5,Toronto,31.9%,36.6%,34.7%,32.9%,31.0%
6,Portland,32.0%,34.4%,28.7%,33.8%,30.7%
7,Denver,32.2%,34.1%,41.7%,32.1%,32.4%
8,Phoenix,32.4%,33.2%,36.0%,30.6%,34.6%
9,Golden State,32.5%,32.8%,31.7%,32.9%,32.3%
10,Minnesota,32.6%,24.4%,18.6%,32.4%,32.6%
11,Cleveland,33.0%,26.9%,27.3%,29.8%,37.2%
12,Sacramento,33.1%,35.4%,37.5%,34.3%,32.0%
13,Milwaukee,33.1%,37.7%,28.3%,35.0%,30.5%
14,Philadelphia,33.4%,29.6%,27.1%,32.2%,35.1%
15,Atlanta,33.8%,36.2%,43.2%,29.3%,36.4%
16,Washington,33.9%,32.9%,39.8%,33.8%,33.9%
17,Brooklyn,34.5%,33.8%,31.9%,32.7%,36.1%
18,Boston,35.4%,33.7%,28.9%,35.5%,35.2%
19,Charlotte,35.4%,34.6%,30.2%,35.0%,35.9%
20,LA Lakers,35.8%,33.4%,33.1%,33.2%,37.7%
21,Miami,36.3%,37.3%,40.8%,36.7%,35.8%
22,Detroit,36.6%,45.4%,51.3%,32.9%,39.7%
23,Houston,37.4%,35.5%,36.0%,35.0%,39.2%
24,LA Clippers,37.5%,33.2%,28.9%,37.8%,37.3%
25,New Orleans,37.6%,42.9%,38.3%,38.4%,36.5%
26,Memphis,37.8%,45.6%,44.5%,34.0%,41.9%
27,Utah,37.8%,40.4%,42.5%,39.2%,36.2%
28,San Antonio,38.0%,38.1%,26.5%,41.3%,33.2%
29,New York,39.5%,35.9%,38.6%,42.1%,36.7%
30,Okla City,40.2%,43.3%,48.6%,37.0%,43.0%
