Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,129.2,128.3,130.0,125.9,132.2
2,Houston,134.7,122.7,125.0,135.6,134.0
3,Boston,135.0,146.7,134.0,138.9,130.1
4,Detroit,136.2,141.7,141.0,135.8,136.5
5,San Antonio,137.6,139.0,123.0,137.6,137.7
6,Toronto,137.8,124.3,115.0,134.1,141.2
7,Phoenix,138.0,126.3,120.0,132.0,146.3
8,Orlando,138.3,147.0,125.0,135.3,141.6
9,Denver,139.9,146.0,148.0,137.8,141.9
10,Minnesota,140.1,138.3,132.0,137.1,142.4
11,Dallas,140.2,132.0,128.0,141.3,137.7
12,New York,140.3,132.0,116.0,139.6,141.1
13,Golden State,141.3,145.0,128.0,134.0,146.1
14,Cleveland,141.6,133.3,138.0,138.6,145.8
15,Atlanta,141.7,139.0,162.0,141.6,141.8
16,LA Lakers,141.7,144.7,142.0,145.1,139.3
17,Memphis,144.7,144.7,162.0,142.0,147.8
18,LA Clippers,145.4,150.7,164.0,143.3,147.2
19,Milwaukee,145.5,145.7,138.0,147.7,142.5
20,Miami,145.7,134.3,134.0,143.2,148.4
21,Philadelphia,146.1,161.7,182.0,146.4,145.6
22,Indiana,146.9,136.3,115.0,147.4,146.6
23,Portland,147.7,137.3,132.0,143.0,151.2
24,Brooklyn,148.5,139.7,141.0,152.5,145.0
25,Charlotte,149.8,153.7,155.0,144.8,154.8
26,New Orleans,151.3,157.7,171.0,151.6,150.8
27,Sacramento,152.0,140.3,137.0,149.8,154.0
28,Chicago,152.1,167.3,171.0,150.4,153.6
29,Utah,155.6,159.7,168.0,160.3,150.4
30,Washington,158.1,156.3,146.0,159.6,157.0
